"number","table","currency","variables","year","month","url"
"表4","进出口商品类章总值表","人民币","进出口",2020,"1-2","www.customs.gov.cn/customs/302249/302274/302277/302276/2911502/index.html"
"表4","进出口商品类章总值表","人民币","进出口",2020,"3","www.customs.gov.cn/customs/302249/302274/302277/302276/3017151/index.html"
"表4","进出口商品类章总值表","人民币","进出口",2020,"4","www.customs.gov.cn/customs/302249/302274/302277/302276/3073764/index.html"
"表4","进出口商品类章总值表","人民币","进出口",2020,"5 ","www.customs.gov.cn/customs/302249/302274/302277/302276/3155109/index.html"
"表4","进出口商品类章总值表","人民币","进出口",2020,"6",NA
"表4","进出口商品类章总值表","人民币","进出口",2020,"7",NA
"表4","进出口商品类章总值表","人民币","进出口",2020,"8",NA
"表4","进出口商品类章总值表","人民币","进出口",2020,"9",NA
"表4","进出口商品类章总值表","人民币","进出口",2020,"10",NA
"表4","进出口商品类章总值表","人民币","进出口",2020,"11",NA
"表4","进出口商品类章总值表","人民币","进出口",2020,"12",NA
"表4","进出口商品类章总值表","美元","进出口",2020,"1-2","www.customs.gov.cn/customs/302249/302274/302277/302276/2913847/index.html"
"表4","进出口商品类章总值表","美元","进出口",2020,"3","www.customs.gov.cn/customs/302249/302274/302277/302276/3017309/index.html"
"表4","进出口商品类章总值表","美元","进出口",2020,"4","www.customs.gov.cn/customs/302249/302274/302277/302276/3073868/index.html"
"表4","进出口商品类章总值表","美元","进出口",2020,"5 ","www.customs.gov.cn/customs/302249/302274/302277/302276/3155309/index.html"
"表4","进出口商品类章总值表","美元","进出口",2020,"6",NA
"表4","进出口商品类章总值表","美元","进出口",2020,"7",NA
"表4","进出口商品类章总值表","美元","进出口",2020,"8",NA
"表4","进出口商品类章总值表","美元","进出口",2020,"9",NA
"表4","进出口商品类章总值表","美元","进出口",2020,"10",NA
"表4","进出口商品类章总值表","美元","进出口",2020,"11",NA
"表4","进出口商品类章总值表","美元","进出口",2020,"12",NA
"表4","进出口商品类章总值表","人民币","进出口",2019,"1","www.customs.gov.cn/customs/302249/302274/302277/302276/2314335/index.html"
"表4","进出口商品类章总值表","人民币","进出口",2019,"2","www.customs.gov.cn/customs/302249/302274/302277/302276/2352961/index.html"
