"Year","Month","ID","X1","X2","X3","X4","X5","X6","X7"
"2014","12",1,"总值",139733277,1439116559,109277975,1204228375,4.9,-0.6
"2014","12",2,"第一类 活动物；动物产品",1177977,11502010,942811,12423050,10,10.6
"2014","12",3,"01章 活动物",56799,359576,53479,513664,-0.2,91.6
"2014","12",4,"02章 肉及食用杂碎",79888,726098,324008,3588178,18.4,-2.5
"2014","12",5,"03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",916443,8646362,375075,4045302,11.2,8.7
"2014","12",6,"04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",32390,359941,164342,3981436,6.5,22.5
"2014","12",7,"05章 其他动物产品",92456,1410033,25908,294470,3.2,-4.8
"2014","12",8,"第二类 植物产品",1436295,12891992,3960990,37910851,4.6,9.2
"2014","12",9,"06章 活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶",17323,251885,7511,116768,47.1,8.5
"2014","12",10,"07章 食用蔬菜、根及块茎",518029,5052839,158255,1582695,3.4,-0.1
"2014","12",11,"08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",360442,2651886,359681,3157249,2.6,23.9
"2014","12",12,"09章 咖啡、茶、马黛茶及调味香料",124052,1506385,18801,210445,8.1,32.3
"2014","12",13,"10章 谷物",47221,273680,443208,3790516,-14.4,21
"2014","12",14,"11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",32119,376081,56628,591866,-0.7,19
"2014","12",15,"12章 含油子仁及果实；杂项子仁及果实；工业用或药用植物；稻草、秸秆及饲料",256016,1913432,2891262,28194710,5.4,6.7
"2014","12",16,"13章 虫胶；树胶、树脂及其他植物液、汁",75850,802171,15364,144137,12.3,3.6
"2014","12",17,"14章 编结用植物材料；其他植物产品",5244,63633,10280,122464,14.8,6.4
"2014","12",18,"第三类  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",38722,395887,453692,5598270,5.1,-16.7
"2014","12",19,"15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",38722,395887,453692,5598270,5.1,-16.7
"2014","12",20,"第四类  食品；饮料、酒及醋；烟草、烟草及烟草代用品的制品",1627454,17821692,879866,10519463,2.3,2.5
"2014","12",21,"16章 肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品",493648,5457541,14997,152936,-2.1,24.8
"2014","12",22,"17章 糖及糖食",96197,946019,105483,1096515,5,-25.2
"2014","12",23,"18章 可可及可可制品",37476,292216,59946,535432,22.1,17.2
"2014","12",24,"19章 谷物、粮食粉、淀粉或乳的制品；糕饼点心",90115,966626,193318,1730830,1.7,7.9
"2014","12",25,"20章 蔬菜、水果、坚果或植物其他部分的制品",428889,4688401,36798,470853,-3.8,14.6
"2014","12",26,"21章 杂项食品",144924,1665722,84474,863860,8.9,15.4
"2014","12",27,"22章 饮料、酒及醋",88912,1014748,183606,1942222,22.1,-5.5
"2014","12",28,"23章 食品工业的残渣及废料；配制的动物饲料",156529,2001480,103797,2443838,17.7,7.9
"2014","12",29,"24章 烟草、烟草及烟草代用品的制品",90765,788938,97448,1282978,-3.7,12.9
"2014","12",30,"第五类 矿产品",2172177,23752127,22302043,281285662,1.5,-3.6
"2014","12",31,"25章 盐；硫磺；泥土及石料；石膏料、石灰及水泥",260365,2378246,282712,3833598,10.8,3.1
"2014","12",32,"26章 矿砂、矿渣及矿灰",19880,215337,6354212,82932250,-8.6,-10.2
"2014","12",33,"27章 矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡",1891932,21158543,15665119,194519813,0.7,-0.6
"2014","12",34,"第六类 化学工业及其相关工业的产品",6153448,67225941,7023470,77504634,10.8,-1
"2014","12",35,"28章 无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物",780367,9245088,739579,6380998,9.5,8.7
"2014","12",36,"29章 有机化学品",2466917,27907268,3149239,37097402,6.5,-9.3
"2014","12",37,"30章 药品",390020,4049260,1081405,10906415,5,16.4
"2014","12",38,"31章 肥料",717375,5493400,179757,2058686,41.8,-1.9
"2014","12",39,"32章 鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨",351312,4130369,234932,2742103,14.7,2.5
"2014","12",40,"33章 精油及香膏；芳香料制品及化妆盥洗品",241659,2572394,202005,2074312,14.5,8.5
"2014","12",41,"34章 肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂",198449,2117713,219775,2427668,8.8,5.9
"2014","12",42,"35章 蛋白类物质；改性淀粉；胶；酶",153641,1646026,181496,1993007,8.1,3.6
"2014","12",43,"36章 炸药；烟火制品；火柴；引火合金；易燃材料制品",36616,604887,10155,92151,8.2,22.4
"2014","12",44,"37章 照相及电影用品",68082,732941,142948,1403323,-3,-2.7
"2014","12",45,"38章 杂项化学产品",749012,8726596,882178,10328568,14.2,5.9
"2014","12",46,"第七类  塑料及其制品；橡胶及其制品",4969529,55525457,4982279,56866535,5.4,-0.7
"2014","12",47,"39章 塑料及其制品",3773320,41028736,4023445,46194245,7,2.8
"2014","12",48,"40章 橡胶及其制品",1196209,14496720,958834,10672290,1,-13.6
"2014","12",49,"第八类 生皮、皮革、毛皮及其制品；鞍具及挽具；旅行用品、手提包及类似品；动物肠线（蚕胶丝除外）制品",1940247,21556352,593047,7127049,-0.2,2.3
"2014","12",50,"41章 生皮（毛皮除外）及皮革",30892,346056,446505,5073249,19.7,1.8
"2014","12",51,"42章 皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品",1731284,18655749,112210,1261708,-2,2
"2014","12",52,"43章 毛皮、人造毛皮及其制品",178071,2554548,34332,792091,12.9,5.9
"2014","12",53,"第九类 木及木制品；木炭；软木及软木制品；稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品",897474,9923891,1157874,14027511,10.6,20.2
"2014","12",54,"44章 木及木制品；木炭",810268,8889956,1154055,13995107,12.4,20.2
"2014","12",55,"45章 软木及软木制品",976,12071,2978,25386,13.9,10.2
"2014","12",56,"46章 稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品",86230,1021864,840,7018,-2.7,-10.8
"2014","12",57,"第十类 木浆及其他纤维状纤维素浆；纸及纸板的废碎品；纸、纸板及其制品",1199544,13382544,1300382,14515242,9,-0.8
"2014","12",58,"47章 木浆及其他纤维状纤维素浆；纸及纸板的废碎品",4909,72213,934578,10691779,9.3,-0.5
"2014","12",59,"48章 纸及纸板；纸浆、纸或纸板制品",983871,10949453,221474,2648505,10.4,-2.5
"2014","12",60,"49章 书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸",210763,2360878,144330,1174958,2.9,-0.3
"2014","12",61,"第十一类 纺织原料及纺织制品",15199008,176686782,2004674,22120836,3.9,-11.9
"2014","12",62,"50章 蚕丝",75343,931348,5058,42480,-8,-20.6
"2014","12",63,"51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",113516,1548808,197993,2079178,-4.9,-9
"2014","12",64,"52章 棉花",817043,10013851,749995,7831207,-8.1,-26.8
"2014","12",65,"53章 其他植物纺织纤维；纸纱线及其机织物",115219,913288,52623,546320,14.6,27.1
"2014","12",66,"54章 化学纤维长丝",904799,10368112,190832,2169643,4.3,-5.9
"2014","12",67,"55章 化学纤维短纤",717687,7873902,162115,1884459,13.1,-10.5
"2014","12",68,"56章 絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品",270376,2824477,73685,806189,10.3,8.7
"2014","12",69,"57章 地毯及纺织材料的其他铺地制品",159735,1646856,7838,100799,5.9,6.4
"2014","12",70,"58章 特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品",263828,3147694,35746,412557,4,-9.5
"2014","12",71,"59章 浸渍、涂布、包覆或层压的纺织物；工业用纺织制品",400813,4672167,101882,1239148,2,0.9
"2014","12",72,"60章 针织物及钩编织物",734407,8687393,106230,1254574,8.5,-12.9
"2014","12",73,"61章 针织或钩编的服装及衣着附件",4555926,56524477,116314,1269413,-5.9,21.9
"2014","12",74,"62章 非针织或非钩编的服装及衣着附件",4545641,50041242,174130,2187837,18.2,11.7
"2014","12",75,"63章 其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物",1524673,17493166,30233,297032,5.1,11.3
"2014","12",76,"第十二类 鞋、帽、伞、杖、鞭及其零件；已加工的羽毛及其制品；人造花；人发制品",4008426,43333529,147333,1629163,9,10.8
"2014","12",77,"64章 鞋靴、护腿和类似品及其零件",3153486,34552041,126571,1410807,9.7,15.7
"2014","12",78,"65章 帽类及其零件",253409,2791301,3125,31934,1.3,14.3
"2014","12",79,"66章 雨伞、阳伞、手杖、鞭子、马鞭及其零件",196755,1973412,1051,13549,5.8,12.1
"2014","12",80,"67章 已加工羽毛、羽绒及其制品；人造花；人发制品",404777,4016774,16586,172873,10.7,-17.8
"2014","12",81,"第十三类 石料、石膏、水泥、石棉、云母及类似材料的制品；陶瓷产品；玻璃及其制品",3346854,30232197,524391,6014788,7.2,0.9
"2014","12",82,"68章 石料、石膏、水泥、石棉、云母及类似材料的制品",751733,6816204,92358,1026025,9.2,13.8
"2014","12",83,"69章 陶瓷产品",1670403,13561389,41242,478522,14.1,12
"2014","12",84,"70章 玻璃及其制品",924718,9854605,390791,4510240,-2,-2.6
"2014","12",85,"第十四类 天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币",4183860,38825571,1182110,25743814,24.2,126.2
"2014","12",86,"71章 天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币",4183860,38825571,1182110,25743814,24.2,126.2
"2014","12",87,"第十五类  贱金属及其制品",11350483,113209763,5435190,62435870,16.9,-3
"2014","12",88,"72章 钢铁",3287037,34082573,1114497,13014182,42.1,-1.8
"2014","12",89,"73章 钢铁制品",3687015,37261354,748323,7254564,4.6,12.1
"2014","12",90,"74章 铜及其制品",369826,4289461,2482326,29069232,-3.4,-6
"2014","12",91,"75章 镍及其制品",76651,1361938,172904,2518542,120.1,-10.4
"2014","12",92,"76章 铝及其制品",1635861,13893019,440969,4938692,11.7,-8.5
"2014","12",93,"78章 铅及其制品",11219,98576,2307,43421,-3.5,-16.3
"2014","12",94,"79章 锌及其制品",34515,352036,47786,998612,143.7,-3.7
"2014","12",95,"80章 锡及其制品",4771,86852,25850,263260,-10.8,-23.3
"2014","12",96,"81章 其他贱金属、金属陶瓷及其制品",199044,2141649,102446,961680,8.2,0.5
"2014","12",97,"82章 贱金属工具、器具、利口器、餐匙、餐叉及其零件",855933,9086377,186543,2185565,10.4,9.7
"2014","12",98,"83章 贱金属杂项制品",1188611,10555929,111240,1188120,14.5,7.1
"2014","12",99,"第十六类 机器、机械器具、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件",60396476,596971211,36638965,371138586,1.8,-2
"2014","12",100,"84章 核反应堆、锅炉、机械器具及零件",23740084,246226318,10317388,110429702,3.5,4.3
"2014","12",101,"85章 电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件",36656393,350744893,26321577,260708883,0.7,-4.4
"2014","12",102,"第十七类  车辆、航空器、船舶及有关运输设备",6416472,64375637,7206358,74365338,3.5,19.5
"2014","12",103,"86章 铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件、附件；各种机械（包括电动机械）交通信号设备",798133,7825183,90577,1015715,14.6,63.9
"2014","12",104,"87章 车辆及其零件、附件，但铁道及电车道车辆除外",3883402,39448852,4973304,55040344,8.5,19.7
"2014","12",105,"88章 航空器、航天器及其零件",269597,1625931,2091470,17500634,34.9,21.8
"2014","12",106,"89章 船舶及浮动结构体",1465340,15475671,51006,808645,-13.2,-36.1
"2014","12",107,"第十八类  光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；钟表；乐器；上述物品的零件、附件",4548611,49805308,6253357,67407928,-1.9,-3
"2014","12",108,"90章 光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件",4127123,45458887,6024075,65015818,-1.8,-2.7
"2014","12",109,"91章 钟表及其零件",329157,3295303,210941,2196377,-4.8,-11.9
"2014","12",110,"92章 乐器及其零件、附件",92332,1051119,18341,195733,2,7.9
"2014","12",111,"第十九类 武器、弹药及其零件、附件",7936,99028,184,3704,0.3,22.8
"2014","12",112,"93章 武器、弹药及其零件、附件",7936,99028,184,3704,0.3,22.8
"2014","12",113,"第二十类  杂项制品",8482697,89792336,412266,4431140,6.9,21.2
"2014","12",114,"94章 家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光名牌及类似品；活动房屋",5823612,57360823,191257,2078961,6.9,9.3
"2014","12",115,"95章 玩具、游戏品、运动用品及其零件、附件",1810236,23688727,107410,1278433,6.6,52.5
"2014","12",116,"96章 杂项制品",848849,8742786,113599,1073746,7.5,17.3
"2014","12",117,"第二十一类艺术品、收藏品及古物",32592,414671,3834,376445,-35.6,-20.7
"2014","12",118,"97章 艺术品、收藏品及古物",32592,414671,3834,376445,-35.6,-20.7
"2014","12",119,"第二十二类特殊交易品及未分类商品",146991,1392634,5872860,50782498,29.8,-21.9
"2014","12",120,"98章 特殊交易品及未分类商品",146991,1392634,5872860,50782498,29.8,-21.9
