"年度","月份","序号","类章序号","类章名目","出口_当月","出口_累计","进口_当月","进口_累计","累计同期变动_出口","累计同期变动_进口"
2014,6,3,"01章","01章 活动物",28452,149089,28041,163244,-1.3,62.4
2014,6,4,"02章","02章 肉及食用杂碎",59259,322917,270966,1863613,17.6,4.1
2014,6,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",679542,3838522,285590,1972502,4.6,10.6
2014,6,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",26427,159104,312009,2778028,8.5,110.2
2014,6,10,"07章","07章 食用蔬菜、根及块茎",445746,2392128,95352,911469,1.4,7.4
2014,6,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",113023,964552,252804,1668115,-3.8,14.6
2014,6,13,"10章","10章 谷物",9890,70827,259429,1919862,-60,52.2
2014,6,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",32528,190477,26563,274516,3.8,27.6
2014,6,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",31001,188089,451801,3028284,2.4,-8.8
2014,6,38,"31章","31章 肥料",320035,1812439,158791,1047290,86.4,-16.8
2014,6,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",134842,862589,197152,1047680,-4.6,-16.8
2014,6,64,"52章","52章 棉花",778919,4853699,636917,4146540,-10.8,-24.7
2014,7,3,"01章","01章 活动物",29199,178303,47699,210915,-0.9,62.7
2014,7,4,"02章","02章 肉及食用杂碎",58390,381307,299929,2163939,16.3,4.1
2014,7,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",708925,4546577,304266,2276351,6.5,10.8
2014,7,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",32297,191401,303634,3081718,7.5,96
2014,7,10,"07章","07章 食用蔬菜、根及块茎",437068,2828015,123684,1035172,0.6,6.8
2014,7,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",173294,1137855,255805,1924591,-2.5,19.1
2014,7,13,"10章","10章 谷物",16037,86864,303383,2223175,-54.6,54.9
2014,7,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",33163,223641,38190,312715,3.9,28.4
2014,7,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",33845,221935,560498,3588613,0.7,-10.9
2014,7,38,"31章","31章 肥料",420424,2234733,168010,1215300,45.3,-13.2
2014,7,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",129548,992136,199104,1246817,-4.3,-15.3
2014,7,64,"52章","52章 棉花",819946,5673301,764608,4910735,-11.3,-24.2
2014,8,3,"01章","01章 活动物",29637,207940,74733,285648,-2.1,91
2014,8,4,"02章","02章 肉及食用杂碎",60274,441581,291338,2455393,16.5,2
2014,8,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",732757,5279187,333571,2608278,8.2,10.1
2014,8,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",40579,231979,221752,3304961,10.7,84.8
2014,8,10,"07章","07章 食用蔬菜、根及块茎",426460,3254476,114746,1150048,1.7,8.1
2014,8,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",189980,1327830,261128,2186266,-3,22.4
2014,8,13,"10章","10章 谷物",13009,99873,214654,2437731,-51.4,49.2
2014,8,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",28271,251796,48247,361018,1.7,29.4
2014,8,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",34787,256722,435112,4023458,4.3,-13.2
2014,8,38,"31章","31章 肥料",602967,2837702,180459,1395428,31.1,-12
2014,8,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",121764,1113935,164973,1412129,-4.5,-14.4
2014,8,64,"52章","52章 棉花",886188,6558862,629683,5540292,-10.1,-24.7
2014,9,3,"01章","01章 活动物",30738,238678,76534,362247,-0.9,125.4
2014,9,4,"02章","02章 肉及食用杂碎",66013,507594,295733,2751478,17.5,0.8
2014,9,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",748211,6027461,401917,3010435,9.4,10.3
2014,9,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",31536,263516,173618,3478581,8.6,71.2
2014,9,10,"07章","07章 食用蔬菜、根及块茎",390038,3644182,98186,1248244,2,7.7
2014,9,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",263817,1591657,225674,2412945,1.7,19.9
2014,9,13,"10章","10章 谷物",25080,124983,376551,2814310,-47.5,45.3
2014,9,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",34499,286295,63018,424052,2.1,32.1
2014,9,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",35268,291893,399002,4422601,4.6,-13.2
2014,9,38,"31章","31章 肥料",567143,3405996,95569,1490996,28.1,-12.3
2014,9,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",106244,1219376,128026,1540195,-5.5,-13
2014,9,64,"52章","52章 棉花",881391,7439946,558231,6098274,-9.3,-25
2014,10,3,"01章","01章 活动物",31225,269903,45440,407687,-0.3,105.2
2014,10,4,"02章","02章 肉及食用杂碎",66724,574318,251142,3002905,18.8,-0.9
2014,10,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",820491,6847913,347195,3357708,10.6,10.2
2014,10,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",30311,293826,170779,3649290,7.5,55.6
2014,10,10,"07章","07章 食用蔬菜、根及块茎",415253,4059439,91405,1339511,3,4.2
2014,10,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",331745,1923444,178863,2592291,2.7,19.2
2014,10,13,"10章","10章 谷物",34341,159329,246512,3060898,-39.8,29.5
2014,10,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",28788,315082,53534,477566,1.1,29.4
2014,10,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",32265,324151,330331,4750868,4.8,-14.1
2014,10,38,"31章","31章 肥料",611999,4017926,203622,1694619,28.8,-4.5
2014,10,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",116878,1336236,165960,1706156,-4.2,-11
2014,10,64,"52章","52章 棉花",887740,8327628,497613,6595901,-7.7,-24.9
2014,11,3,"01章","01章 活动物",32874,302777,52460,460235,0.1,99
2014,11,4,"02章","02章 肉及食用杂碎",71987,646210,260534,3263939,19.7,-2.2
2014,11,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",882040,7729990,312508,3670611,11.3,8.4
2014,11,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",33748,327550,167796,3817088,6.5,36.8
2014,11,10,"07章","07章 食用蔬菜、根及块茎",475425,4534809,84929,1424440,3.8,-1.3
2014,11,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",367887,2291313,203205,2797258,2.7,20
2014,11,13,"10章","10章 谷物",67131,226459,286234,3347270,-24.4,20.1
2014,11,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",28892,343963,57598,535164,0.3,24.9
2014,11,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",32998,357132,394301,5144486,4.2,-15.7
2014,11,38,"31章","31章 肥料",757962,4776139,184241,1878853,35.8,-1.6
2014,11,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",99057,1435298,174938,1881164,-5.2,-10.1
2014,11,64,"52章","52章 棉花",869407,9197029,486560,7081308,-7.7,-25.3
2014,12,3,"01章","01章 活动物",56799,359576,53479,513664,-0.2,91.6
2014,12,4,"02章","02章 肉及食用杂碎",79888,726098,324008,3588178,18.4,-2.5
2014,12,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",916443,8646362,375075,4045302,11.2,8.7
2014,12,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",32390,359941,164342,3981436,6.5,22.5
2014,12,10,"07章","07章 食用蔬菜、根及块茎",518029,5052839,158255,1582695,3.4,-0.1
2014,12,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",360442,2651886,359681,3157249,2.6,23.9
2014,12,13,"10章","10章 谷物",47221,273680,443208,3790516,-14.4,21
2014,12,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",32119,376081,56628,591866,-0.7,19
2014,12,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",38722,395887,453692,5598270,5.1,-16.7
2014,12,38,"31章","31章 肥料",717375,5493400,179757,2058686,41.8,-1.9
2014,12,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",113516,1548808,197993,2079178,-4.9,-9
2014,12,64,"52章","52章 棉花",817043,10013851,749995,7831207,-8.1,-26.8
2015,1,3,"01章","01章 活动物",4973,4973,74640,74640,-19.8,226.2
2015,1,4,"02章","02章 肉及食用杂碎",50971,50971,338755,338755,-7.6,0
2015,1,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",835949,835949,309873,309873,-0.4,-5.8
2015,1,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",28963,28963,277632,277632,-14.5,-54.7
2015,1,10,"07章","07章 食用蔬菜、根及块茎",469646,469646,131750,131750,4.9,-19.6
2015,1,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",261466,261466,474900,474900,-17.2,19.1
2015,1,13,"10章","10章 谷物",15169,15169,427409,427409,-7.5,19.3
2015,1,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",33050,33050,53832,53832,6.2,-22.2
2015,1,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",35959,35959,419629,419629,5.1,-29.6
2015,1,38,"31章","31章 肥料",473279,473279,180872,180872,116.9,24
2015,1,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",122902,122902,168491,168491,-17.1,-1.7
2015,1,64,"52章","52章 棉花",772432,772432,609741,609741,-21.4,-21.6
