"year","month","currency","cat","country","period","value","files"
2016,"11","千美元","总值","缅甸","A",754280,"2016-11-D.html"
2016,"11","千美元","第1类","缅甸","A",880,"2016-11-D.html"
2016,"11","千美元","01章","缅甸","A",0,"2016-11-D.html"
2016,"11","千美元","02章","缅甸","A",NA,"2016-11-D.html"
2016,"11","千美元","03章","缅甸","A",NA,"2016-11-D.html"
2016,"11","千美元","04章","缅甸","A",72,"2016-11-D.html"
2016,"11","千美元","05章","缅甸","A",807,"2016-11-D.html"
2016,"11","千美元","第2类","缅甸","A",28546,"2016-11-D.html"
2016,"11","千美元","06章","缅甸","A",1600,"2016-11-D.html"
2016,"11","千美元","07章","缅甸","A",363,"2016-11-D.html"
2016,"11","千美元","08章","缅甸","A",21861,"2016-11-D.html"
2016,"11","千美元","09章","缅甸","A",1466,"2016-11-D.html"
2016,"11","千美元","10章","缅甸","A",NA,"2016-11-D.html"
2016,"11","千美元","11章","缅甸","A",1818,"2016-11-D.html"
2016,"11","千美元","12章","缅甸","A",1395,"2016-11-D.html"
2016,"11","千美元","13章","缅甸","A",44,"2016-11-D.html"
2016,"11","千美元","14章","缅甸","A",NA,"2016-11-D.html"
2016,"11","千美元","第3类","缅甸","A",NA,"2016-11-D.html"
2016,"11","千美元","15章","缅甸","A",NA,"2016-11-D.html"
2016,"11","千美元","第4类","缅甸","A",15855,"2016-11-D.html"
2016,"11","千美元","16章","缅甸","A",208,"2016-11-D.html"
2016,"11","千美元","17章","缅甸","A",830,"2016-11-D.html"
2016,"11","千美元","18章","缅甸","A",45,"2016-11-D.html"
2016,"11","千美元","19章","缅甸","A",804,"2016-11-D.html"
2016,"11","千美元","20章","缅甸","A",124,"2016-11-D.html"
2016,"11","千美元","21章","缅甸","A",8018,"2016-11-D.html"
2016,"11","千美元","22章","缅甸","A",1760,"2016-11-D.html"
2016,"11","千美元","23章","缅甸","A",60,"2016-11-D.html"
2016,"11","千美元","24章","缅甸","A",4006,"2016-11-D.html"
2016,"11","千美元","31章","缅甸","A",9111,"2016-11-D.html"
2016,"11","千美元","50章","缅甸","A",681,"2016-11-D.html"
2016,"11","千美元","51章","缅甸","A",1156,"2016-11-D.html"
2016,"11","千美元","52章","缅甸","A",14036,"2016-11-D.html"
2016,"11","千美元","总值","缅甸","B",7393688,"2016-11-D.html"
2016,"11","千美元","第1类","缅甸","B",19542,"2016-11-D.html"
2016,"11","千美元","01章","缅甸","B",0,"2016-11-D.html"
2016,"11","千美元","02章","缅甸","B",NA,"2016-11-D.html"
2016,"11","千美元","03章","缅甸","B",2,"2016-11-D.html"
2016,"11","千美元","04章","缅甸","B",2179,"2016-11-D.html"
2016,"11","千美元","05章","缅甸","B",17361,"2016-11-D.html"
2016,"11","千美元","第2类","缅甸","B",187879,"2016-11-D.html"
2016,"11","千美元","06章","缅甸","B",11646,"2016-11-D.html"
2016,"11","千美元","07章","缅甸","B",2555,"2016-11-D.html"
2016,"11","千美元","08章","缅甸","B",116759,"2016-11-D.html"
2016,"11","千美元","09章","缅甸","B",32638,"2016-11-D.html"
2016,"11","千美元","10章","缅甸","B",620,"2016-11-D.html"
2016,"11","千美元","11章","缅甸","B",11991,"2016-11-D.html"
2016,"11","千美元","12章","缅甸","B",11206,"2016-11-D.html"
2016,"11","千美元","13章","缅甸","B",460,"2016-11-D.html"
2016,"11","千美元","14章","缅甸","B",5,"2016-11-D.html"
2016,"11","千美元","第3类","缅甸","B",175,"2016-11-D.html"
2016,"11","千美元","15章","缅甸","B",175,"2016-11-D.html"
2016,"11","千美元","第4类","缅甸","B",110587,"2016-11-D.html"
2016,"11","千美元","16章","缅甸","B",806,"2016-11-D.html"
2016,"11","千美元","17章","缅甸","B",7434,"2016-11-D.html"
2016,"11","千美元","18章","缅甸","B",61,"2016-11-D.html"
2016,"11","千美元","19章","缅甸","B",8271,"2016-11-D.html"
2016,"11","千美元","20章","缅甸","B",596,"2016-11-D.html"
2016,"11","千美元","21章","缅甸","B",46444,"2016-11-D.html"
2016,"11","千美元","22章","缅甸","B",25999,"2016-11-D.html"
2016,"11","千美元","23章","缅甸","B",4399,"2016-11-D.html"
2016,"11","千美元","24章","缅甸","B",16577,"2016-11-D.html"
2016,"11","千美元","31章","缅甸","B",117408,"2016-11-D.html"
2016,"11","千美元","50章","缅甸","B",6816,"2016-11-D.html"
2016,"11","千美元","51章","缅甸","B",17332,"2016-11-D.html"
2016,"11","千美元","52章","缅甸","B",152146,"2016-11-D.html"
2016,"11","千美元","总值","香港","A",27747029,"2016-11-D.html"
2016,"11","千美元","第1类","香港","A",252654,"2016-11-D.html"
2016,"11","千美元","01章","香港","A",48334,"2016-11-D.html"
2016,"11","千美元","02章","香港","A",65297,"2016-11-D.html"
2016,"11","千美元","03章","香港","A",121251,"2016-11-D.html"
2016,"11","千美元","04章","香港","A",14457,"2016-11-D.html"
2016,"11","千美元","05章","香港","A",3315,"2016-11-D.html"
2016,"11","千美元","第2类","香港","A",245912,"2016-11-D.html"
2016,"11","千美元","06章","香港","A",758,"2016-11-D.html"
2016,"11","千美元","07章","香港","A",119252,"2016-11-D.html"
2016,"11","千美元","08章","香港","A",38835,"2016-11-D.html"
2016,"11","千美元","09章","香港","A",47158,"2016-11-D.html"
2016,"11","千美元","10章","香港","A",1300,"2016-11-D.html"
2016,"11","千美元","11章","香港","A",4330,"2016-11-D.html"
2016,"11","千美元","12章","香港","A",29665,"2016-11-D.html"
2016,"11","千美元","13章","香港","A",3068,"2016-11-D.html"
2016,"11","千美元","14章","香港","A",1546,"2016-11-D.html"
2016,"11","千美元","第3类","香港","A",7155,"2016-11-D.html"
2016,"11","千美元","15章","香港","A",7155,"2016-11-D.html"
