"year","month","currency","cat","country","period","value","files"
2002,"07","千美元","总值","缅甸","A",47188,"2002-07-c41-t01.html"
2002,"07","千美元","第1类","缅甸","A",496,"2002-07-c41-t01.html"
2002,"07","千美元","01章","缅甸","A",71,"2002-07-c41-t01.html"
2002,"07","千美元","02章","缅甸","A",NA,"2002-07-c41-t01.html"
2002,"07","千美元","03章","缅甸","A",1,"2002-07-c41-t01.html"
2002,"07","千美元","04章","缅甸","A",371,"2002-07-c41-t01.html"
2002,"07","千美元","05章","缅甸","A",53,"2002-07-c41-t01.html"
2002,"07","千美元","第2类","缅甸","A",721,"2002-07-c41-t01.html"
2002,"07","千美元","06章","缅甸","A",3,"2002-07-c41-t01.html"
2002,"07","千美元","07章","缅甸","A",283,"2002-07-c41-t01.html"
2002,"07","千美元","08章","缅甸","A",32,"2002-07-c41-t01.html"
2002,"07","千美元","09章","缅甸","A",231,"2002-07-c41-t01.html"
2002,"07","千美元","10章","缅甸","A",NA,"2002-07-c41-t01.html"
2002,"07","千美元","11章","缅甸","A",96,"2002-07-c41-t01.html"
2002,"07","千美元","12章","缅甸","A",76,"2002-07-c41-t01.html"
2002,"07","千美元","13章","缅甸","A",0,"2002-07-c41-t01.html"
2002,"07","千美元","14章","缅甸","A",NA,"2002-07-c41-t01.html"
2002,"07","千美元","第3类","缅甸","A",18,"2002-07-c41-t01.html"
2002,"07","千美元","15章","缅甸","A",18,"2002-07-c41-t01.html"
2002,"07","千美元","第4类","缅甸","A",2650,"2002-07-c41-t01.html"
2002,"07","千美元","16章","缅甸","A",2,"2002-07-c41-t01.html"
2002,"07","千美元","17章","缅甸","A",18,"2002-07-c41-t01.html"
2002,"07","千美元","18章","缅甸","A",NA,"2002-07-c41-t01.html"
2002,"07","千美元","19章","缅甸","A",48,"2002-07-c41-t01.html"
2002,"07","千美元","20章","缅甸","A",9,"2002-07-c41-t01.html"
2002,"07","千美元","21章","缅甸","A",152,"2002-07-c41-t01.html"
2002,"07","千美元","22章","缅甸","A",1209,"2002-07-c41-t01.html"
2002,"07","千美元","23章","缅甸","A",NA,"2002-07-c41-t01.html"
2002,"07","千美元","24章","缅甸","A",1211,"2002-07-c41-t01.html"
2002,"07","千美元","31章","缅甸","A",43,"2002-07-c41-t01.html"
2002,"07","千美元","50章","缅甸","A",95,"2002-07-c41-t01.html"
2002,"07","千美元","51章","缅甸","A",128,"2002-07-c41-t01.html"
2002,"07","千美元","52章","缅甸","A",3678,"2002-07-c41-t01.html"
2002,"07","千美元","总值","缅甸","B",339722,"2002-07-c41-t01.html"
2002,"07","千美元","第1类","缅甸","B",2917,"2002-07-c41-t01.html"
2002,"07","千美元","01章","缅甸","B",133,"2002-07-c41-t01.html"
2002,"07","千美元","02章","缅甸","B",38,"2002-07-c41-t01.html"
2002,"07","千美元","03章","缅甸","B",1,"2002-07-c41-t01.html"
2002,"07","千美元","04章","缅甸","B",2492,"2002-07-c41-t01.html"
2002,"07","千美元","05章","缅甸","B",253,"2002-07-c41-t01.html"
2002,"07","千美元","第2类","缅甸","B",6097,"2002-07-c41-t01.html"
2002,"07","千美元","06章","缅甸","B",6,"2002-07-c41-t01.html"
2002,"07","千美元","07章","缅甸","B",1557,"2002-07-c41-t01.html"
2002,"07","千美元","08章","缅甸","B",1250,"2002-07-c41-t01.html"
2002,"07","千美元","09章","缅甸","B",1069,"2002-07-c41-t01.html"
2002,"07","千美元","10章","缅甸","B",120,"2002-07-c41-t01.html"
2002,"07","千美元","11章","缅甸","B",644,"2002-07-c41-t01.html"
2002,"07","千美元","12章","缅甸","B",1418,"2002-07-c41-t01.html"
2002,"07","千美元","13章","缅甸","B",4,"2002-07-c41-t01.html"
2002,"07","千美元","14章","缅甸","B",29,"2002-07-c41-t01.html"
2002,"07","千美元","第3类","缅甸","B",23,"2002-07-c41-t01.html"
2002,"07","千美元","15章","缅甸","B",23,"2002-07-c41-t01.html"
2002,"07","千美元","第4类","缅甸","B",15577,"2002-07-c41-t01.html"
2002,"07","千美元","16章","缅甸","B",8,"2002-07-c41-t01.html"
2002,"07","千美元","17章","缅甸","B",126,"2002-07-c41-t01.html"
2002,"07","千美元","18章","缅甸","B",1,"2002-07-c41-t01.html"
2002,"07","千美元","19章","缅甸","B",194,"2002-07-c41-t01.html"
2002,"07","千美元","20章","缅甸","B",55,"2002-07-c41-t01.html"
2002,"07","千美元","21章","缅甸","B",2102,"2002-07-c41-t01.html"
2002,"07","千美元","22章","缅甸","B",8070,"2002-07-c41-t01.html"
2002,"07","千美元","23章","缅甸","B",2,"2002-07-c41-t01.html"
2002,"07","千美元","24章","缅甸","B",5020,"2002-07-c41-t01.html"
2002,"07","千美元","31章","缅甸","B",1211,"2002-07-c41-t01.html"
2002,"07","千美元","50章","缅甸","B",514,"2002-07-c41-t01.html"
2002,"07","千美元","51章","缅甸","B",1412,"2002-07-c41-t01.html"
2002,"07","千美元","52章","缅甸","B",24311,"2002-07-c41-t01.html"
2002,"07","千美元","总值","朝鲜","A",51630,"2002-07-c41-t01.html"
2002,"07","千美元","第1类","朝鲜","A",1923,"2002-07-c41-t01.html"
2002,"07","千美元","01章","朝鲜","A",15,"2002-07-c41-t01.html"
2002,"07","千美元","02章","朝鲜","A",39,"2002-07-c41-t01.html"
2002,"07","千美元","03章","朝鲜","A",1523,"2002-07-c41-t01.html"
2002,"07","千美元","04章","朝鲜","A",32,"2002-07-c41-t01.html"
2002,"07","千美元","05章","朝鲜","A",314,"2002-07-c41-t01.html"
2002,"07","千美元","第2类","朝鲜","A",2360,"2002-07-c41-t01.html"
2002,"07","千美元","06章","朝鲜","A",NA,"2002-07-c41-t01.html"
2002,"07","千美元","07章","朝鲜","A",259,"2002-07-c41-t01.html"
2002,"07","千美元","08章","朝鲜","A",8,"2002-07-c41-t01.html"
2002,"07","千美元","09章","朝鲜","A",22,"2002-07-c41-t01.html"
2002,"07","千美元","10章","朝鲜","A",1237,"2002-07-c41-t01.html"
2002,"07","千美元","11章","朝鲜","A",559,"2002-07-c41-t01.html"
2002,"07","千美元","12章","朝鲜","A",274,"2002-07-c41-t01.html"
2002,"07","千美元","13章","朝鲜","A",NA,"2002-07-c41-t01.html"
2002,"07","千美元","14章","朝鲜","A",1,"2002-07-c41-t01.html"
2002,"07","千美元","第3类","朝鲜","A",60,"2002-07-c41-t01.html"
2002,"07","千美元","15章","朝鲜","A",60,"2002-07-c41-t01.html"
2002,"07","千美元","第4类","朝鲜","A",1044,"2002-07-c41-t01.html"
2002,"07","千美元","16章","朝鲜","A",NA,"2002-07-c41-t01.html"
2002,"07","千美元","17章","朝鲜","A",53,"2002-07-c41-t01.html"
2002,"07","千美元","18章","朝鲜","A",NA,"2002-07-c41-t01.html"
2002,"07","千美元","19章","朝鲜","A",52,"2002-07-c41-t01.html"
2002,"07","千美元","20章","朝鲜","A",9,"2002-07-c41-t01.html"
2002,"07","千美元","21章","朝鲜","A",11,"2002-07-c41-t01.html"
2002,"07","千美元","22章","朝鲜","A",210,"2002-07-c41-t01.html"
2002,"07","千美元","23章","朝鲜","A",205,"2002-07-c41-t01.html"
2002,"07","千美元","24章","朝鲜","A",504,"2002-07-c41-t01.html"
2002,"07","千美元","31章","朝鲜","A",1413,"2002-07-c41-t01.html"
2002,"07","千美元","50章","朝鲜","A",NA,"2002-07-c41-t01.html"
2002,"07","千美元","51章","朝鲜","A",12,"2002-07-c41-t01.html"
2002,"07","千美元","52章","朝鲜","A",311,"2002-07-c41-t01.html"
2002,"07","千美元","总值","朝鲜","B",273173,"2002-07-c41-t01.html"
2002,"07","千美元","第1类","朝鲜","B",13435,"2002-07-c41-t01.html"
2002,"07","千美元","01章","朝鲜","B",35,"2002-07-c41-t01.html"
2002,"07","千美元","02章","朝鲜","B",7167,"2002-07-c41-t01.html"
2002,"07","千美元","03章","朝鲜","B",5645,"2002-07-c41-t01.html"
2002,"07","千美元","04章","朝鲜","B",202,"2002-07-c41-t01.html"
2002,"07","千美元","05章","朝鲜","B",386,"2002-07-c41-t01.html"
2002,"07","千美元","第2类","朝鲜","B",34287,"2002-07-c41-t01.html"
2002,"07","千美元","06章","朝鲜","B",82,"2002-07-c41-t01.html"
2002,"07","千美元","07章","朝鲜","B",1193,"2002-07-c41-t01.html"
2002,"07","千美元","08章","朝鲜","B",2070,"2002-07-c41-t01.html"
2002,"07","千美元","09章","朝鲜","B",209,"2002-07-c41-t01.html"
2002,"07","千美元","10章","朝鲜","B",17144,"2002-07-c41-t01.html"
2002,"07","千美元","11章","朝鲜","B",5963,"2002-07-c41-t01.html"
2002,"07","千美元","12章","朝鲜","B",7623,"2002-07-c41-t01.html"
2002,"07","千美元","13章","朝鲜","B",NA,"2002-07-c41-t01.html"
2002,"07","千美元","14章","朝鲜","B",2,"2002-07-c41-t01.html"
2002,"07","千美元","第3类","朝鲜","B",264,"2002-07-c41-t01.html"
2002,"07","千美元","15章","朝鲜","B",264,"2002-07-c41-t01.html"
2002,"07","千美元","第4类","朝鲜","B",11909,"2002-07-c41-t01.html"
2002,"07","千美元","16章","朝鲜","B",69,"2002-07-c41-t01.html"
2002,"07","千美元","17章","朝鲜","B",534,"2002-07-c41-t01.html"
2002,"07","千美元","18章","朝鲜","B",172,"2002-07-c41-t01.html"
2002,"07","千美元","19章","朝鲜","B",431,"2002-07-c41-t01.html"
2002,"07","千美元","20章","朝鲜","B",156,"2002-07-c41-t01.html"
2002,"07","千美元","21章","朝鲜","B",111,"2002-07-c41-t01.html"
2002,"07","千美元","22章","朝鲜","B",2373,"2002-07-c41-t01.html"
2002,"07","千美元","23章","朝鲜","B",3160,"2002-07-c41-t01.html"
2002,"07","千美元","24章","朝鲜","B",4903,"2002-07-c41-t01.html"
2002,"07","千美元","31章","朝鲜","B",18155,"2002-07-c41-t01.html"
2002,"07","千美元","50章","朝鲜","B",18,"2002-07-c41-t01.html"
2002,"07","千美元","51章","朝鲜","B",253,"2002-07-c41-t01.html"
2002,"07","千美元","52章","朝鲜","B",1982,"2002-07-c41-t01.html"
2002,"07","千美元","总值","香港","A",5189278,"2002-07-c41-t01.html"
2002,"07","千美元","第1类","香港","A",64974,"2002-07-c41-t01.html"
