X1,X2,X3,X4,X5,href
1,4706,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(二十二)(7857字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821534&cs=722130&str=对部分国家+出口商品类章+海关统计
2,4705,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(二十一)(7826字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821533&cs=4766294&str=对部分国家+出口商品类章+海关统计
3,4704,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(二十)(7451字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821532&cs=4450954&str=对部分国家+出口商品类章+海关统计
4,4703,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(十九)(7459字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821531&cs=12018970&str=对部分国家+出口商品类章+海关统计
5,4702,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(十八)(7727字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821530&cs=1881585&str=对部分国家+出口商品类章+海关统计
6,4701,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(十七)(7687字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821529&cs=3257725&str=对部分国家+出口商品类章+海关统计
7,4700,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(十六)(7403字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821528&cs=15235123&str=对部分国家+出口商品类章+海关统计
8,4699,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(十五)(7456字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821527&cs=12812580&str=对部分国家+出口商品类章+海关统计
9,4698,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(十四)(7797字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821526&cs=15196457&str=对部分国家+出口商品类章+海关统计
10,4697,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(十三)(7739字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821525&cs=11722761&str=对部分国家+出口商品类章+海关统计
11,4696,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(十二)(8289字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821524&cs=3213237&str=对部分国家+出口商品类章+海关统计
12,4695,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(十一)(7741字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821523&cs=3460146&str=对部分国家+出口商品类章+海关统计
13,4694,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(十)(8547字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821522&cs=5754080&str=对部分国家+出口商品类章+海关统计
14,4693,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(九)(8474字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821521&cs=14597437&str=对部分国家+出口商品类章+海关统计
15,4692,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(八)(7698字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821520&cs=7476500&str=对部分国家+出口商品类章+海关统计
16,4691,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(七)(7841字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821519&cs=8583515&str=对部分国家+出口商品类章+海关统计
17,4690,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(六)(7767字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821518&cs=4760402&str=对部分国家+出口商品类章+海关统计
18,4689,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(五)(7829字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821517&cs=5592799&str=对部分国家+出口商品类章+海关统计
19,4688,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(四)(7725字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821516&cs=1044883&str=对部分国家+出口商品类章+海关统计
20,4687,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(三)(7823字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821515&cs=8477264&str=对部分国家+出口商品类章+海关统计
21,4686,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(二)(7972字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821514&cs=12373182&str=对部分国家+出口商品类章+海关统计
22,4685,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(一)(8067字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821513&cs=13270853&str=对部分国家+出口商品类章+海关统计
23,4684,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(二十二)(7728字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821426&cs=6734013&str=对部分国家+出口商品类章+海关统计
24,4683,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(二十一)(7823字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821425&cs=14086242&str=对部分国家+出口商品类章+海关统计
25,4682,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(二十)(7375字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821424&cs=7049885&str=对部分国家+出口商品类章+海关统计
26,4681,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(十九)(7387字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821423&cs=83337&str=对部分国家+出口商品类章+海关统计
27,4680,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(十八)(7721字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821422&cs=4519035&str=对部分国家+出口商品类章+海关统计
28,4679,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(十七)(7682字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821421&cs=757083&str=对部分国家+出口商品类章+海关统计
29,4678,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(十六)(7330字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821420&cs=1035994&str=对部分国家+出口商品类章+海关统计
30,4677,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(十五)(7450字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821419&cs=5200102&str=对部分国家+出口商品类章+海关统计
31,4676,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(十四)(7599字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821418&cs=13066393&str=对部分国家+出口商品类章+海关统计
32,4675,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(十三)(7730字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821417&cs=3984415&str=对部分国家+出口商品类章+海关统计
33,4674,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(十二)(7535字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821416&cs=2652679&str=对部分国家+出口商品类章+海关统计
34,4673,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(十一)(7668字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821415&cs=2780276&str=对部分国家+出口商品类章+海关统计
35,4672,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(十)(8469字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821414&cs=12903781&str=对部分国家+出口商品类章+海关统计
36,4671,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(九)(8469字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821413&cs=3145324&str=对部分国家+出口商品类章+海关统计
37,4670,20191231,中国2019年1-12月对部分国家(地区)出口商品类章金额统计(八)(7693字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821412&cs=168196&str=对部分国家+出口商品类章+海关统计
