year,month,currency,cat,country,period,value,files
2014,12,千美元,总值,缅甸,A,527659,2014-12-D.html
2014,12,千美元,第1类,缅甸,A,4431,2014-12-D.html
2014,12,千美元,01章,缅甸,A,NA,2014-12-D.html
2014,12,千美元,02章,缅甸,A,NA,2014-12-D.html
2014,12,千美元,03章,缅甸,A,4431,2014-12-D.html
2014,12,千美元,04章,缅甸,A,NA,2014-12-D.html
2014,12,千美元,05章,缅甸,A,NA,2014-12-D.html
2014,12,千美元,第2类,缅甸,A,26335,2014-12-D.html
2014,12,千美元,06章,缅甸,A,NA,2014-12-D.html
2014,12,千美元,07章,缅甸,A,2336,2014-12-D.html
2014,12,千美元,08章,缅甸,A,5033,2014-12-D.html
2014,12,千美元,09章,缅甸,A,212,2014-12-D.html
2014,12,千美元,10章,缅甸,A,10567,2014-12-D.html
2014,12,千美元,11章,缅甸,A,NA,2014-12-D.html
2014,12,千美元,12章,缅甸,A,8027,2014-12-D.html
2014,12,千美元,13章,缅甸,A,NA,2014-12-D.html
2014,12,千美元,14章,缅甸,A,160,2014-12-D.html
2014,12,千美元,第3类,缅甸,A,NA,2014-12-D.html
2014,12,千美元,15章,缅甸,A,NA,2014-12-D.html
2014,12,千美元,第4类,缅甸,A,969,2014-12-D.html
2014,12,千美元,16章,缅甸,A,NA,2014-12-D.html
2014,12,千美元,17章,缅甸,A,NA,2014-12-D.html
2014,12,千美元,18章,缅甸,A,NA,2014-12-D.html
2014,12,千美元,19章,缅甸,A,10,2014-12-D.html
2014,12,千美元,20章,缅甸,A,NA,2014-12-D.html
2014,12,千美元,21章,缅甸,A,NA,2014-12-D.html
2014,12,千美元,22章,缅甸,A,NA,2014-12-D.html
2014,12,千美元,23章,缅甸,A,959,2014-12-D.html
2014,12,千美元,24章,缅甸,A,NA,2014-12-D.html
2014,12,千美元,31章,缅甸,A,NA,2014-12-D.html
2014,12,千美元,50章,缅甸,A,NA,2014-12-D.html
2014,12,千美元,51章,缅甸,A,NA,2014-12-D.html
2014,12,千美元,52章,缅甸,A,NA,2014-12-D.html
2014,12,千美元,总值,缅甸,B,15603009,2014-12-D.html
2014,12,千美元,第1类,缅甸,B,51235,2014-12-D.html
2014,12,千美元,01章,缅甸,B,NA,2014-12-D.html
2014,12,千美元,02章,缅甸,B,NA,2014-12-D.html
2014,12,千美元,03章,缅甸,B,51152,2014-12-D.html
2014,12,千美元,04章,缅甸,B,NA,2014-12-D.html
2014,12,千美元,05章,缅甸,B,83,2014-12-D.html
2014,12,千美元,第2类,缅甸,B,120908,2014-12-D.html
2014,12,千美元,06章,缅甸,B,10,2014-12-D.html
2014,12,千美元,07章,缅甸,B,17092,2014-12-D.html
2014,12,千美元,08章,缅甸,B,20475,2014-12-D.html
2014,12,千美元,09章,缅甸,B,702,2014-12-D.html
2014,12,千美元,10章,缅甸,B,14682,2014-12-D.html
2014,12,千美元,11章,缅甸,B,81,2014-12-D.html
2014,12,千美元,12章,缅甸,B,66647,2014-12-D.html
2014,12,千美元,13章,缅甸,B,NA,2014-12-D.html
2014,12,千美元,14章,缅甸,B,1219,2014-12-D.html
2014,12,千美元,第3类,缅甸,B,268,2014-12-D.html
2014,12,千美元,15章,缅甸,B,268,2014-12-D.html
2014,12,千美元,第4类,缅甸,B,5747,2014-12-D.html
2014,12,千美元,16章,缅甸,B,NA,2014-12-D.html
2014,12,千美元,17章,缅甸,B,2014,2014-12-D.html
2014,12,千美元,18章,缅甸,B,NA,2014-12-D.html
2014,12,千美元,19章,缅甸,B,153,2014-12-D.html
2014,12,千美元,20章,缅甸,B,1,2014-12-D.html
2014,12,千美元,21章,缅甸,B,NA,2014-12-D.html
2014,12,千美元,22章,缅甸,B,84,2014-12-D.html
2014,12,千美元,23章,缅甸,B,3495,2014-12-D.html
2014,12,千美元,24章,缅甸,B,NA,2014-12-D.html
2014,12,千美元,31章,缅甸,B,NA,2014-12-D.html
2014,12,千美元,50章,缅甸,B,NA,2014-12-D.html
2014,12,千美元,51章,缅甸,B,NA,2014-12-D.html
2014,12,千美元,52章,缅甸,B,29,2014-12-D.html
2014,12,千美元,总值,香港,A,1315179,2014-12-D.html
2014,12,千美元,第1类,香港,A,143,2014-12-D.html
2014,12,千美元,01章,香港,A,NA,2014-12-D.html
2014,12,千美元,02章,香港,A,NA,2014-12-D.html
2014,12,千美元,03章,香港,A,143,2014-12-D.html
2014,12,千美元,04章,香港,A,NA,2014-12-D.html
