"year","month","currency","cat","country","period","value","files"
2015,"12","千美元","总值","缅甸","A",642239,"2015-12-D.html"
2015,"12","千美元","第1类","缅甸","A",1671,"2015-12-D.html"
2015,"12","千美元","01章","缅甸","A",NA,"2015-12-D.html"
2015,"12","千美元","02章","缅甸","A",NA,"2015-12-D.html"
2015,"12","千美元","03章","缅甸","A",1671,"2015-12-D.html"
2015,"12","千美元","04章","缅甸","A",NA,"2015-12-D.html"
2015,"12","千美元","05章","缅甸","A",NA,"2015-12-D.html"
2015,"12","千美元","第2类","缅甸","A",19898,"2015-12-D.html"
2015,"12","千美元","06章","缅甸","A",NA,"2015-12-D.html"
2015,"12","千美元","07章","缅甸","A",1249,"2015-12-D.html"
2015,"12","千美元","08章","缅甸","A",3530,"2015-12-D.html"
2015,"12","千美元","09章","缅甸","A",169,"2015-12-D.html"
2015,"12","千美元","10章","缅甸","A",6356,"2015-12-D.html"
2015,"12","千美元","11章","缅甸","A",NA,"2015-12-D.html"
2015,"12","千美元","12章","缅甸","A",8539,"2015-12-D.html"
2015,"12","千美元","13章","缅甸","A",NA,"2015-12-D.html"
2015,"12","千美元","14章","缅甸","A",55,"2015-12-D.html"
2015,"12","千美元","第3类","缅甸","A",NA,"2015-12-D.html"
2015,"12","千美元","15章","缅甸","A",NA,"2015-12-D.html"
2015,"12","千美元","第4类","缅甸","A",259,"2015-12-D.html"
2015,"12","千美元","16章","缅甸","A",NA,"2015-12-D.html"
2015,"12","千美元","17章","缅甸","A",3,"2015-12-D.html"
2015,"12","千美元","18章","缅甸","A",NA,"2015-12-D.html"
2015,"12","千美元","19章","缅甸","A",7,"2015-12-D.html"
2015,"12","千美元","20章","缅甸","A",1,"2015-12-D.html"
2015,"12","千美元","21章","缅甸","A",13,"2015-12-D.html"
2015,"12","千美元","22章","缅甸","A",27,"2015-12-D.html"
2015,"12","千美元","23章","缅甸","A",208,"2015-12-D.html"
2015,"12","千美元","24章","缅甸","A",NA,"2015-12-D.html"
2015,"12","千美元","31章","缅甸","A",NA,"2015-12-D.html"
2015,"12","千美元","50章","缅甸","A",NA,"2015-12-D.html"
2015,"12","千美元","51章","缅甸","A",NA,"2015-12-D.html"
2015,"12","千美元","52章","缅甸","A",1,"2015-12-D.html"
2015,"12","千美元","总值","缅甸","B",3507088,"2015-12-D.html"
2015,"12","千美元","第1类","缅甸","B",20402,"2015-12-D.html"
2015,"12","千美元","01章","缅甸","B",NA,"2015-12-D.html"
2015,"12","千美元","02章","缅甸","B",NA,"2015-12-D.html"
2015,"12","千美元","03章","缅甸","B",20379,"2015-12-D.html"
2015,"12","千美元","04章","缅甸","B",NA,"2015-12-D.html"
2015,"12","千美元","05章","缅甸","B",23,"2015-12-D.html"
2015,"12","千美元","第2类","缅甸","B",83087,"2015-12-D.html"
2015,"12","千美元","06章","缅甸","B",12,"2015-12-D.html"
2015,"12","千美元","07章","缅甸","B",16860,"2015-12-D.html"
2015,"12","千美元","08章","缅甸","B",13159,"2015-12-D.html"
2015,"12","千美元","09章","缅甸","B",486,"2015-12-D.html"
2015,"12","千美元","10章","缅甸","B",10909,"2015-12-D.html"
2015,"12","千美元","11章","缅甸","B",NA,"2015-12-D.html"
2015,"12","千美元","12章","缅甸","B",41001,"2015-12-D.html"
2015,"12","千美元","13章","缅甸","B",NA,"2015-12-D.html"
2015,"12","千美元","14章","缅甸","B",659,"2015-12-D.html"
2015,"12","千美元","第3类","缅甸","B",NA,"2015-12-D.html"
2015,"12","千美元","15章","缅甸","B",NA,"2015-12-D.html"
2015,"12","千美元","第4类","缅甸","B",3623,"2015-12-D.html"
2015,"12","千美元","16章","缅甸","B",NA,"2015-12-D.html"
2015,"12","千美元","17章","缅甸","B",1104,"2015-12-D.html"
2015,"12","千美元","18章","缅甸","B",NA,"2015-12-D.html"
2015,"12","千美元","19章","缅甸","B",29,"2015-12-D.html"
2015,"12","千美元","20章","缅甸","B",3,"2015-12-D.html"
2015,"12","千美元","21章","缅甸","B",13,"2015-12-D.html"
2015,"12","千美元","22章","缅甸","B",39,"2015-12-D.html"
2015,"12","千美元","23章","缅甸","B",2435,"2015-12-D.html"
2015,"12","千美元","24章","缅甸","B",NA,"2015-12-D.html"
2015,"12","千美元","31章","缅甸","B",NA,"2015-12-D.html"
2015,"12","千美元","50章","缅甸","B",NA,"2015-12-D.html"
2015,"12","千美元","51章","缅甸","B",12,"2015-12-D.html"
2015,"12","千美元","52章","缅甸","B",5,"2015-12-D.html"
2015,"12","千美元","总值","香港","A",1380097,"2015-12-D.html"
2015,"12","千美元","第1类","香港","A",1073,"2015-12-D.html"
2015,"12","千美元","01章","香港","A",320,"2015-12-D.html"
2015,"12","千美元","02章","香港","A",NA,"2015-12-D.html"
2015,"12","千美元","03章","香港","A",754,"2015-12-D.html"
2015,"12","千美元","04章","香港","A",NA,"2015-12-D.html"
2015,"12","千美元","05章","香港","A",NA,"2015-12-D.html"
2015,"12","千美元","第2类","香港","A",73,"2015-12-D.html"
2015,"12","千美元","06章","香港","A",NA,"2015-12-D.html"
2015,"12","千美元","07章","香港","A",NA,"2015-12-D.html"
2015,"12","千美元","08章","香港","A",2,"2015-12-D.html"
2015,"12","千美元","09章","香港","A",47,"2015-12-D.html"
2015,"12","千美元","10章","香港","A",NA,"2015-12-D.html"
2015,"12","千美元","11章","香港","A",NA,"2015-12-D.html"
2015,"12","千美元","12章","香港","A",NA,"2015-12-D.html"
2015,"12","千美元","13章","香港","A",23,"2015-12-D.html"
2015,"12","千美元","14章","香港","A",NA,"2015-12-D.html"
