"year","month","currency","cat","country","period","value","files"
2003,"10","千美元","总值","缅甸","A",8312,"2003-10-c14-t01.html"
2003,"10","千美元","第1类","缅甸","A",224,"2003-10-c14-t01.html"
2003,"10","千美元","01章","缅甸","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","02章","缅甸","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","03章","缅甸","A",224,"2003-10-c14-t01.html"
2003,"10","千美元","04章","缅甸","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","05章","缅甸","A",0,"2003-10-c14-t01.html"
2003,"10","千美元","第2类","缅甸","A",661,"2003-10-c14-t01.html"
2003,"10","千美元","06章","缅甸","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","07章","缅甸","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","08章","缅甸","A",187,"2003-10-c14-t01.html"
2003,"10","千美元","09章","缅甸","A",30,"2003-10-c14-t01.html"
2003,"10","千美元","10章","缅甸","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","11章","缅甸","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","12章","缅甸","A",274,"2003-10-c14-t01.html"
2003,"10","千美元","13章","缅甸","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","14章","缅甸","A",170,"2003-10-c14-t01.html"
2003,"10","千美元","第3类","缅甸","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","15章","缅甸","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","第4类","缅甸","A",30,"2003-10-c14-t01.html"
2003,"10","千美元","16章","缅甸","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","17章","缅甸","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","18章","缅甸","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","19章","缅甸","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","20章","缅甸","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","21章","缅甸","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","22章","缅甸","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","23章","缅甸","A",30,"2003-10-c14-t01.html"
2003,"10","千美元","24章","缅甸","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","31章","缅甸","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","50章","缅甸","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","51章","缅甸","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","52章","缅甸","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","总值","缅甸","B",135038,"2003-10-c14-t01.html"
2003,"10","千美元","第1类","缅甸","B",2058,"2003-10-c14-t01.html"
2003,"10","千美元","01章","缅甸","B",11,"2003-10-c14-t01.html"
2003,"10","千美元","02章","缅甸","B",NA,"2003-10-c14-t01.html"
2003,"10","千美元","03章","缅甸","B",1991,"2003-10-c14-t01.html"
2003,"10","千美元","04章","缅甸","B",6,"2003-10-c14-t01.html"
2003,"10","千美元","05章","缅甸","B",49,"2003-10-c14-t01.html"
2003,"10","千美元","第2类","缅甸","B",14215,"2003-10-c14-t01.html"
2003,"10","千美元","06章","缅甸","B",5,"2003-10-c14-t01.html"
2003,"10","千美元","07章","缅甸","B",204,"2003-10-c14-t01.html"
2003,"10","千美元","08章","缅甸","B",9847,"2003-10-c14-t01.html"
2003,"10","千美元","09章","缅甸","B",99,"2003-10-c14-t01.html"
2003,"10","千美元","10章","缅甸","B",20,"2003-10-c14-t01.html"
2003,"10","千美元","11章","缅甸","B",21,"2003-10-c14-t01.html"
2003,"10","千美元","12章","缅甸","B",1670,"2003-10-c14-t01.html"
2003,"10","千美元","13章","缅甸","B",268,"2003-10-c14-t01.html"
2003,"10","千美元","14章","缅甸","B",2081,"2003-10-c14-t01.html"
2003,"10","千美元","第3类","缅甸","B",NA,"2003-10-c14-t01.html"
2003,"10","千美元","15章","缅甸","B",NA,"2003-10-c14-t01.html"
2003,"10","千美元","第4类","缅甸","B",504,"2003-10-c14-t01.html"
2003,"10","千美元","16章","缅甸","B",NA,"2003-10-c14-t01.html"
2003,"10","千美元","17章","缅甸","B",NA,"2003-10-c14-t01.html"
2003,"10","千美元","18章","缅甸","B",NA,"2003-10-c14-t01.html"
2003,"10","千美元","19章","缅甸","B",NA,"2003-10-c14-t01.html"
2003,"10","千美元","20章","缅甸","B",NA,"2003-10-c14-t01.html"
2003,"10","千美元","21章","缅甸","B",NA,"2003-10-c14-t01.html"
2003,"10","千美元","22章","缅甸","B",NA,"2003-10-c14-t01.html"
2003,"10","千美元","23章","缅甸","B",504,"2003-10-c14-t01.html"
2003,"10","千美元","24章","缅甸","B",NA,"2003-10-c14-t01.html"
2003,"10","千美元","31章","缅甸","B",NA,"2003-10-c14-t01.html"
2003,"10","千美元","50章","缅甸","B",NA,"2003-10-c14-t01.html"
2003,"10","千美元","51章","缅甸","B",NA,"2003-10-c14-t01.html"
2003,"10","千美元","52章","缅甸","B",NA,"2003-10-c14-t01.html"
2003,"10","千美元","总值","朝鲜","A",39826,"2003-10-c14-t01.html"
2003,"10","千美元","第1类","朝鲜","A",20303,"2003-10-c14-t01.html"
2003,"10","千美元","01章","朝鲜","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","02章","朝鲜","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","03章","朝鲜","A",20249,"2003-10-c14-t01.html"
2003,"10","千美元","04章","朝鲜","A",0,"2003-10-c14-t01.html"
2003,"10","千美元","05章","朝鲜","A",54,"2003-10-c14-t01.html"
2003,"10","千美元","第2类","朝鲜","A",1089,"2003-10-c14-t01.html"
2003,"10","千美元","06章","朝鲜","A",4,"2003-10-c14-t01.html"
2003,"10","千美元","07章","朝鲜","A",62,"2003-10-c14-t01.html"
2003,"10","千美元","08章","朝鲜","A",452,"2003-10-c14-t01.html"
2003,"10","千美元","09章","朝鲜","A",3,"2003-10-c14-t01.html"
2003,"10","千美元","10章","朝鲜","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","11章","朝鲜","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","12章","朝鲜","A",569,"2003-10-c14-t01.html"
2003,"10","千美元","13章","朝鲜","A",0,"2003-10-c14-t01.html"
2003,"10","千美元","14章","朝鲜","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","第3类","朝鲜","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","15章","朝鲜","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","第4类","朝鲜","A",27,"2003-10-c14-t01.html"
2003,"10","千美元","16章","朝鲜","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","17章","朝鲜","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","18章","朝鲜","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","19章","朝鲜","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","20章","朝鲜","A",27,"2003-10-c14-t01.html"
2003,"10","千美元","21章","朝鲜","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","22章","朝鲜","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","23章","朝鲜","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","24章","朝鲜","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","31章","朝鲜","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","50章","朝鲜","A",187,"2003-10-c14-t01.html"
2003,"10","千美元","51章","朝鲜","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","52章","朝鲜","A",NA,"2003-10-c14-t01.html"
2003,"10","千美元","总值","朝鲜","B",231315,"2003-10-c14-t01.html"
2003,"10","千美元","第1类","朝鲜","B",100978,"2003-10-c14-t01.html"
2003,"10","千美元","01章","朝鲜","B",NA,"2003-10-c14-t01.html"
2003,"10","千美元","02章","朝鲜","B",NA,"2003-10-c14-t01.html"
