X1,X2,X3,X4,X5,href
1,4526,20191231,中国2019年1-12月自部分国家(地区)进口商品类章金额统计(二十二)(7443字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821556&cs=10817177&str=自部分国家+进口商品类章+海关统计
2,4525,20191231,中国2019年1-12月自部分国家(地区)进口商品类章金额统计(二十一)(7953字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821555&cs=12620269&str=自部分国家+进口商品类章+海关统计
3,4524,20191231,中国2019年1-12月自部分国家(地区)进口商品类章金额统计(二十)(7143字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821554&cs=12931632&str=自部分国家+进口商品类章+海关统计
4,4523,20191231,中国2019年1-12月自部分国家(地区)进口商品类章金额统计(十九)(7434字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821553&cs=11317078&str=自部分国家+进口商品类章+海关统计
5,4522,20191231,中国2019年1-12月自部分国家(地区)进口商品类章金额统计(十八)(7741字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821552&cs=16464725&str=自部分国家+进口商品类章+海关统计
6,4521,20191231,中国2019年1-12月自部分国家(地区)进口商品类章金额统计(十七)(7785字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821551&cs=13946301&str=自部分国家+进口商品类章+海关统计
7,4520,20191231,中国2019年1-12月自部分国家(地区)进口商品类章金额统计(十六)(7147字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821550&cs=7668374&str=自部分国家+进口商品类章+海关统计
8,4519,20191231,中国2019年1-12月自部分国家(地区)进口商品类章金额统计(十五)(7344字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821549&cs=135347&str=自部分国家+进口商品类章+海关统计
9,4518,20191231,中国2019年1-12月自部分国家(地区)进口商品类章金额统计(十四)(7455字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821548&cs=8119002&str=自部分国家+进口商品类章+海关统计
10,4517,20191231,中国2019年1-12月自部分国家(地区)进口商品类章金额统计(十三)(7790字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821547&cs=10335809&str=自部分国家+进口商品类章+海关统计
11,4516,20191231,中国2019年1-12月自部分国家(地区)进口商品类章金额统计(十二)(7477字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821546&cs=1923610&str=自部分国家+进口商品类章+海关统计
12,4515,20191231,中国2019年1-12月自部分国家(地区)进口商品类章金额统计(十一)(7617字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821545&cs=1821390&str=自部分国家+进口商品类章+海关统计
13,4514,20191231,中国2019年1-12月自部分国家(地区)进口商品类章金额统计(十)(8376字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821544&cs=14526606&str=自部分国家+进口商品类章+海关统计
14,4513,20191231,中国2019年1-12月自部分国家(地区)进口商品类章金额统计(九)(8489字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821543&cs=8171673&str=自部分国家+进口商品类章+海关统计
15,4512,20191231,中国2019年1-12月自部分国家(地区)进口商品类章金额统计(八)(7691字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821542&cs=2570375&str=自部分国家+进口商品类章+海关统计
16,4511,20191231,中国2019年1-12月自部分国家(地区)进口商品类章金额统计(七)(7735字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821541&cs=16594764&str=自部分国家+进口商品类章+海关统计
17,4510,20191231,中国2019年1-12月自部分国家(地区)进口商品类章金额统计(六)(7572字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821540&cs=14068068&str=自部分国家+进口商品类章+海关统计
18,4509,20191231,中国2019年1-12月自部分国家(地区)进口商品类章金额统计(五)(7798字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821539&cs=16540699&str=自部分国家+进口商品类章+海关统计
19,4508,20191231,中国2019年1-12月自部分国家(地区)进口商品类章金额统计(四)(7595字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821538&cs=6862699&str=自部分国家+进口商品类章+海关统计
20,4507,20191231,中国2019年1-12月自部分国家(地区)进口商品类章金额统计(三)(7858字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821537&cs=13714067&str=自部分国家+进口商品类章+海关统计
21,4506,20191231,中国2019年1-12月自部分国家(地区)进口商品类章金额统计(二)(7650字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821536&cs=2882096&str=自部分国家+进口商品类章+海关统计
