"year","month","type","currency","V0","V1","V2","page"
2002,"01",NA,"美元","北京",43328377,-4,7
2002,"01",NA,"美元","天津",29858535,-15.7,7
2002,"01",NA,"美元","河北",48217115,54.1,7
2002,"01",NA,"美元","山西",7053001,76.6,7
2002,"01",NA,"美元","辽宁",70929451,2.7,7
2002,"01",NA,"美元","吉林",32368241,-24.7,7
2002,"01",NA,"美元","黑龙江",23045580,-37.4,7
2002,"01",NA,"美元","上海",48345660,42.2,7
2002,"01",NA,"美元","江苏",60464682,34.6,7
2002,"01",NA,"美元","浙江",121873443,21.5,7
2002,"01",NA,"美元","安徽",20414895,23.7,7
2002,"01",NA,"美元","福建",105597691,27.7,7
2002,"01",NA,"美元","江西",6137556,-62.2,7
2002,"01",NA,"美元","山东",310969542,35.6,7
2002,"01",NA,"美元","河南",18275844,56.4,7
2002,"01",NA,"美元","湖北",17909131,157.6,7
2002,"01",NA,"美元","湖南",11258806,25.4,7
2002,"01",NA,"美元","广东",201573796,21.3,7
2002,"01",NA,"美元","广西",15559970,32,7
2002,"01",NA,"美元","海南",7087961,9.3,7
2002,"01",NA,"美元","重庆",-100,NA,7
2002,"01",NA,"美元","四川",24572943,68.7,7
2002,"01",NA,"美元","贵州",3498492,12.9,7
2002,"01",NA,"美元","云南",15936243,31.8,7
2002,"01",NA,"美元","西藏",346903,-22.9,7
2002,"01",NA,"美元","陕西",10008781,29.9,7
2002,"01",NA,"美元","甘肃",4746621,38.2,7
2002,"01",NA,"美元","青海",442938,-47.2,7
2002,"01",NA,"美元","宁夏",1217575,173.3,7
2002,"01",NA,"美元","新疆",23881125,54,7
2002,"01",NA,"美元",NA,9236244,-16.4,7
