"type","currency","V0","V1","V2","V3"
"出口","万美元","北京",15286.2,16532.1,-7.5
"出口","万美元","天津",8132.5,6123.9,32.8
"出口","万美元","河北",9206.8,8098.4,13.7
"出口","万美元","山西",792.1,363,118.2
"出口","万美元","内蒙古",2402.7,4677.9,-48.6
"出口","万美元","辽宁",33334.9,33002.1,1
"出口","万美元","吉林",9220.5,7453.4,23.7
"出口","万美元","黑龙江",7643.9,5040.2,51.7
"出口","万美元","上海",10493.7,10906.4,-3.8
"出口","万美元","江苏",15982.4,13086.7,22.1
"出口","万美元","浙江",29586.3,24526.7,20.6
"出口","万美元","安徽",4269.8,3157.3,35.2
"出口","万美元","福建",30201.3,27083,11.5
"出口","万美元","江西",1906.2,1028.8,85.3
"出口","万美元","山东",90992.4,73943.6,23.1
"出口","万美元","河南",4559,3546.7,28.5
"出口","万美元","湖北",5029.1,4213.2,19.4
"出口","万美元","湖南",3569.9,2846.9,25.4
"出口","万美元","广东",37976.4,34477.2,10.1
"出口","万美元","广西",7087.1,2961.4,139.3
"出口","万美元","海南",3652.6,2665.7,37
"出口","万美元","重庆",1168.2,1088.8,7.3
"出口","万美元","四川",4992.4,4055.8,23.1
"出口","万美元","贵州",553.5,403.9,37
"出口","万美元","云南",5465.4,3478.2,57.1
"出口","万美元","西藏",294.5,608.1,-51.6
"出口","万美元","陕西",10048.3,6849,46.7
"出口","万美元","甘肃",2765.2,2017.6,37.1
"出口","万美元","青海",35.4,92.3,-61.7
"出口","万美元","宁夏",294.2,336.1,-12.5
"出口","万美元","新疆",7769.5,5485.8,41.6
"进口","万美元","北京",57098.7,30224.3,88.9
"进口","万美元","天津",25148.3,13566.6,85.4
"进口","万美元","河北",17606.6,5340.4,229.7
"进口","万美元","山西",70.2,0,0
"进口","万美元","内蒙古",847.4,397.3,113.3
"进口","万美元","辽宁",15292.6,11598.1,31.9
"进口","万美元","吉林",5842.6,2141.3,172.9
"进口","万美元","黑龙江",1261.3,1132.9,11.3
"进口","万美元","上海",65065,27216.8,139.1
"进口","万美元","江苏",38803.9,36241.5,7.1
"进口","万美元","浙江",28984.3,15563.5,86.2
"进口","万美元","安徽",3660,2025.3,80.7
"进口","万美元","福建",21826.1,8508.3,156.5
"进口","万美元","江西",102.1,97,5.3
"进口","万美元","山东",67743.1,47443.3,42.8
"进口","万美元","河南",7943.8,2691,195.2
"进口","万美元","湖北",2520.1,308.4,717.2
"进口","万美元","湖南",1520.7,4123.2,-63.1
"进口","万美元","广东",63685.7,47048.7,35.4
"进口","万美元","广西",17055.4,8249.5,106.7
"进口","万美元","海南",423.5,416.4,1.7
"进口","万美元","重庆",4594.1,2215.4,107.4
"进口","万美元","四川",2623.8,465,464.3
"进口","万美元","贵州",7.2,4.5,59.6
"进口","万美元","云南",2619.1,538.8,386.1
"进口","万美元","西藏",6.9,15.9,-56.8
"进口","万美元","陕西",146.2,391.2,-62.6
"进口","万美元","甘肃",41,0.3,15381.6
"进口","万美元","青海",0,0,0
"进口","万美元","宁夏",0,0.1,0
"进口","万美元","新疆",2610.7,1053.1,147.9
