"year","month","type","currency","V0","V1","V2","V3"
2014,"10","出口","万美元","北京",82132.3,107476,-23.6
2014,"10","出口","万美元","天津",84382.8,81200.9,3.9
2014,"10","出口","万美元","河北",142947.9,131622.7,8.6
2014,"10","出口","万美元","山西",9107.9,7954.9,14.5
2014,"10","出口","万美元","内蒙古",30643.5,25973.5,18
2014,"10","出口","万美元","辽宁",423419.8,411557.6,2.9
2014,"10","出口","万美元","吉林",94613.8,100429.9,-5.8
2014,"10","出口","万美元","黑龙江",76099.6,71924.8,5.8
2014,"10","出口","万美元","上海",157377.2,146642.2,7.3
2014,"10","出口","万美元","江苏",302717.1,260484.5,16.2
2014,"10","出口","万美元","浙江",436564.9,408907.9,6.8
2014,"10","出口","万美元","安徽",95447.9,87930,8.5
2014,"10","出口","万美元","福建",703977,667379.5,5.5
2014,"10","出口","万美元","江西",52626,37487.2,40.4
2014,"10","出口","万美元","山东",1282884.9,1231194.2,4.2
2014,"10","出口","万美元","河南",124901.7,105910.3,17.9
2014,"10","出口","万美元","湖北",160295.6,146950,9.1
2014,"10","出口","万美元","湖南",84830,67389.5,25.9
2014,"10","出口","万美元","广东",669686.6,643683.3,4
2014,"10","出口","万美元","广西",161271.7,122499.9,31.7
2014,"10","出口","万美元","海南",52890,48328.9,9.4
2014,"10","出口","万美元","重庆",25925.2,31129.8,-16.7
2014,"10","出口","万美元","四川",64337.5,53419.1,20.4
2014,"10","出口","万美元","贵州",25756.6,20980.3,22.8
2014,"10","出口","万美元","云南",228391.6,187510.8,21.8
2014,"10","出口","万美元","西藏",2500.5,4447.7,-43.8
2014,"10","出口","万美元","陕西",44888.7,54981.8,-18.4
2014,"10","出口","万美元","甘肃",29619.7,22959.5,29
2014,"10","出口","万美元","青海",1255.1,2498.3,-49.8
2014,"10","出口","万美元","宁夏",15991.7,8284.7,93
2014,"10","出口","万美元","新疆",68237.5,62593.8,9
2014,"10","进口","万美元","北京",1100300,1137383,-3.3
2014,"10","进口","万美元","天津",492272,469093.7,4.9
2014,"10","进口","万美元","河北",255071.6,255776.6,-0.3
2014,"10","进口","万美元","山西",22792.7,7875.7,189.4
2014,"10","进口","万美元","内蒙古",47431.4,34229.5,38.6
2014,"10","进口","万美元","辽宁",493174.4,463521.2,6.4
2014,"10","进口","万美元","吉林",55704.5,94275.1,-40.9
2014,"10","进口","万美元","黑龙江",208783.3,184466.5,13.2
2014,"10","进口","万美元","上海",939495.5,885305.7,6.1
2014,"10","进口","万美元","江苏",848324.7,830576,2.1
2014,"10","进口","万美元","浙江",403177,420217,-4.1
2014,"10","进口","万美元","安徽",131945.6,137415,-4
2014,"10","进口","万美元","福建",540145.5,461835.5,17
2014,"10","进口","万美元","江西",20848.7,12109,72.2
2014,"10","进口","万美元","山东",2384120.6,2054810.5,16
2014,"10","进口","万美元","河南",123632,127221.1,-2.8
2014,"10","进口","万美元","湖北",31103.6,29688,4.8
2014,"10","进口","万美元","湖南",33908.9,35290,-3.9
2014,"10","进口","万美元","广东",1356598.5,1181003.9,14.9
2014,"10","进口","万美元","广西",359867,310734.5,15.8
2014,"10","进口","万美元","海南",16543.9,14067.7,17.6
2014,"10","进口","万美元","重庆",40562.7,85082.1,-52.3
2014,"10","进口","万美元","四川",39530.4,31821.6,24.2
2014,"10","进口","万美元","贵州",748.4,457.7,63.5
2014,"10","进口","万美元","云南",139247,136545.4,2
2014,"10","进口","万美元","西藏",76.4,43.3,76.7
2014,"10","进口","万美元","陕西",9169.7,12199.2,-24.8
2014,"10","进口","万美元","甘肃",4948.1,3276.6,51
2014,"10","进口","万美元","青海",538.8,98.8,445.5
2014,"10","进口","万美元","宁夏",1434.6,280,412.4
2014,"10","进口","万美元","新疆",35498.2,48602,-27
