"year","month","type","currency","V0","V1","V2","V3","page"
2019,"07","出口","万美元",NA,93929.3,81427.2,15.4,31
2019,"07","出口","万美元",NA,49578.5,50744.4,-2.3,31
2019,"07","出口","万美元",NA,85034.9,87580.3,-2.9,31
2019,"07","出口","万美元",NA,5866,7638.6,-23.2,31
2019,"07","出口","万美元",NA,55818,58399.4,-4.4,31
2019,"07","出口","万美元",NA,284014.7,289100.7,-1.8,31
2019,"07","出口","万美元",NA,60562,66215.7,-8.5,31
2019,"07","出口","万美元",NA,52269.3,53809.1,-2.9,31
2019,"07","出口","万美元",NA,101795.6,106786.4,-4.7,31
2019,"07","出口","万美元",NA,212568.2,235298.5,-9.7,31
2019,"07","出口","万美元",NA,313423.8,327092.6,-4.2,31
2019,"07","出口","万美元",NA,78277.7,78651.4,-0.5,31
2019,"07","出口","万美元",NA,522431.4,570309.7,-8.4,31
2019,"07","出口","万美元",NA,29610.6,34138.2,-13.3,31
2019,"07","出口","万美元",NA,977765,975520.8,0.2,31
2019,"07","出口","万美元",NA,157668.8,153705.9,2.6,31
2019,"07","出口","万美元",NA,96221.3,101441.5,-5.1,31
2019,"07","出口","万美元",NA,63391.7,64717.5,-2,31
2019,"07","出口","万美元",NA,540893.4,556911,-2.9,31
2019,"07","出口","万美元",NA,97831,111090.8,-11.9,31
2019,"07","出口","万美元",NA,28416.8,28209.6,0.7,31
2019,"07","出口","万美元",NA,7520.7,12498.4,-39.8,31
2019,"07","出口","万美元",NA,39935.7,40402,-1.2,31
2019,"07","出口","万美元",NA,34289.9,30614.2,12,31
2019,"07","出口","万美元",NA,212691.5,198035.1,7.4,31
2019,"07","出口","万美元",NA,517.1,504.4,2.5,31
2019,"07","出口","万美元",NA,24346.8,40694.3,-40.2,31
2019,"07","出口","万美元",NA,13094.7,16064.9,-18.5,31
2019,"07","出口","万美元",NA,1187.5,1057.6,12.3,31
2019,"07","出口","万美元",NA,5945.5,7357.4,-19.2,31
2019,"07","出口","万美元",NA,53766.4,51629.4,4.1,31
2019,"07","进口","万美元",NA,1246062.7,989011.8,26,32
2019,"07","进口","万美元",NA,358054.5,293085.9,22.2,32
2019,"07","进口","万美元",NA,159163.5,223677.9,-28.8,32
2019,"07","进口","万美元",NA,1708.3,1582.3,8,32
2019,"07","进口","万美元",NA,58330,40693.7,43.3,32
2019,"07","进口","万美元",NA,277838.2,328974,-15.5,32
2019,"07","进口","万美元",NA,35607.7,59581.3,-40.2,32
2019,"07","进口","万美元",NA,106459.8,97365.1,9.3,32
2019,"07","进口","万美元",NA,1305813.2,1218856.2,7.1,32
2019,"07","进口","万美元",NA,818241.4,942368.3,-13.2,32
2019,"07","进口","万美元",NA,446481.7,409625.7,9,32
2019,"07","进口","万美元",NA,207097.6,171154,21,32
2019,"07","进口","万美元",NA,461550.3,475333.5,-2.9,32
2019,"07","进口","万美元",NA,7493.5,10480.8,-28.5,32
2019,"07","进口","万美元",NA,909453.1,857358,6.1,32
2019,"07","进口","万美元",NA,66404.6,76256.2,-12.9,32
2019,"07","进口","万美元",NA,29707.7,24438,21.6,32
2019,"07","进口","万美元",NA,105050.1,80714.5,30.2,32
2019,"07","进口","万美元",NA,1229832.6,1185772.4,3.7,32
2019,"07","进口","万美元",NA,288561,307913.8,-6.3,32
2019,"07","进口","万美元",NA,18620.8,11979.2,55.4,32
2019,"07","进口","万美元",NA,52903.8,59348.9,-10.9,32
2019,"07","进口","万美元",NA,49994.1,37385.4,33.7,32
2019,"07","进口","万美元",NA,560.9,1879.6,-70.2,32
2019,"07","进口","万美元",NA,94789.3,77717.3,22,32
2019,"07","进口","万美元",NA,17.9,468.2,-96.2,32
2019,"07","进口","万美元",NA,31926.3,17505.8,82.4,32
2019,"07","进口","万美元",NA,4153.8,2376.5,74.8,32
2019,"07","进口","万美元",NA,380.7,450.4,-15.5,32
2019,"07","进口","万美元",NA,2211.4,3574,-38.1,32
2019,"07","进口","万美元",NA,42380.4,34057.8,24.4,32
