"year","month","type","currency","V0","V1","V2","page"
2002,"02","出口","美元","北京",104104374,8.7,7
2002,"02","出口","美元","天津",55006351,-23.4,7
2002,"02","出口","美元","河北",80664237,33.9,7
2002,"02","出口","美元","山西",20950971,183.6,7
2002,"02","出口","美元","内蒙古",26645490,29.7,7
2002,"02","出口","美元","辽宁",156174369,11.1,7
2002,"02","出口","美元","吉林",90835522,-23.5,7
2002,"02","出口","美元","黑龙江",48988040,-25.5,7
2002,"02","出口","美元","上海",88634716,21.3,7
2002,"02","出口","美元","江苏",111084457,15.1,7
2002,"02","出口","美元","浙江",223161326,9.5,8
2002,"02","出口","美元","安徽",36658270,10,7
2002,"02","出口","美元","福建",201970126,7.4,7
2002,"02","出口","美元","江西",11775766,-59.3,7
2002,"02","出口","美元","山东",549299765,18.1,7
2002,"02","出口","美元","河南",31184525,14.4,7
2002,"02","出口","美元","湖北",28227480,75.9,7
2002,"02","出口","美元","湖南",20678655,-7,7
2002,"02","出口","美元","广东",364511813,6.7,7
2002,"02","出口","美元","广西",26456660,9.8,7
2002,"02","出口","美元","海南",12688031,-6.8,7
2002,"02","出口","美元","四川",38962127,-9.5,7
2002,"02","出口","美元","贵州",6126841,17,7
2002,"02","出口","美元","云南",29401946,16.8,8
2002,"02","出口","美元","西藏",530905,-28.6,7
2002,"02","出口","美元","陕西",20340168,9.4,7
2002,"02","出口","美元","甘肃",11018414,66.8,7
2002,"02","出口","美元","青海",1411182,10.9,7
2002,"02","出口","美元","宁夏",2621909,268.1,7
2002,"02","出口","美元","新疆",39284503,32.2,8
