"year","month","type","quantity","currency","cat","V0","V1","V2","V3","V4","V5","V6","V7","page"
2009,"05","出口","吨","万美元","大米",0,"合计",396345.9,27434.1,646836.6,26517.9,-38.7,3.5,8
2009,"05","出口","吨","万美元","大米",1,"韩国",133407,10940.1,161721,8078.5,-17.5,35.4,8
2009,"05","出口","吨","万美元","大米",2,"日本",49300.2,4723.1,32934.3,2551.6,49.7,85.1,8
2009,"05","出口","吨","万美元","大米",3,"尼日利亚",35500,2049.9,23000,750.5,54.3,173.1,8
2009,"05","进口","吨","万美元","大米",0,"合计",109388.6,7551.2,222073.7,13178.4,-50.7,-42.7,12
2009,"05","进口","吨","万美元","大米",1,"泰国",107868.3,7490.7,218349.2,13036.4,-50.6,-42.5,12
2009,"05","进口","吨","万美元","大米",2,"老挝",965.5,32.5,2510,35.7,-61.5,-8.8,12
2009,"05","进口","吨","万美元","大米",3,"越南",417.4,13.4,540,21.5,-22.7,-37.8,12
2009,"05","出口","吨","万美元","小麦",0,"合计",8100.1,214.6,125929,3052.2,-93.6,-93,10
2009,"05","出口","吨","万美元","小麦",1,"阿富汗",8100,214.6,4380,103.4,84.9,107.4,10
2009,"05","出口","吨","万美元","小麦",2,"马拉维",0.1,0,NA,NA,NA,NA,10
2009,"05","进口","吨","万美元","小麦",0,"合计",230781.1,5239.6,4505.2,266.1,5022.6,1869.2,13
2009,"05","进口","吨","万美元","小麦",1,"美国",100544.7,2262.7,135.7,13.4,73989,16820,13
2009,"05","进口","吨","万美元","小麦",2,"澳大利亚",76981.3,1934.6,1197,50.3,6331.2,3748.1,13
2009,"05","进口","吨","万美元","小麦",3,"英国",50746.4,866.7,NA,NA,NA,NA,13
2009,"05","出口","吨","万美元","玉米",0,"合计",28313.1,678.9,92147.4,2292.9,-69.3,-70.4,10
2009,"05","出口","吨","万美元","玉米",1,"朝鲜",21701.2,507.9,46267.7,1172.3,-53.1,-56.7,10
2009,"05","出口","吨","万美元","玉米",2,"台湾省",6285.2,145,26235,687.4,-76,-78.9,10
2009,"05","出口","吨","万美元","玉米",3,"厄立特里亚",100,13.1,NA,NA,NA,NA,10
2009,"05","进口","吨","万美元","玉米",0,"character(0)",NA,NA,NA,NA,NA,NA,13
2009,"05","进口","吨","万美元","大豆",0,"合计",17377346.3,700304.4,13651492.4,792106.4,27.3,-11.6,12
2009,"05","进口","吨","万美元","大豆",1,"美国",11406228.9,453756.5,8532243.2,495369.4,33.7,-8.4,12
2009,"05","进口","吨","万美元","大豆",2,"巴西",4234896.4,175154.3,2936540.3,176605.4,44.2,-0.8,12
2009,"05","进口","吨","万美元","大豆",3,"阿根廷",1533640.8,63557,2167384.7,119509.5,-29.2,-46.8,12
