year,month,type,currency,V0,V1,V2,V3,page
2002,1,出口,万美元,北京,4332.8377,NA,-4,7
2002,1,出口,万美元,天津,2985.8535,NA,-15.7,7
2002,1,出口,万美元,河北,4821.7115,NA,54.1,7
2002,1,出口,万美元,山西,705.3001,NA,76.6,7
2002,1,出口,万美元,内蒙古,923.6244,NA,-16.4,7
2002,1,出口,万美元,辽宁,7092.9451,NA,2.7,7
2002,1,出口,万美元,吉林,3236.8241,NA,-24.7,7
2002,1,出口,万美元,黑龙江,2304.558,NA,-37.4,7
2002,1,出口,万美元,上海,4834.566,NA,42.2,7
2002,1,出口,万美元,江苏,6046.4682,NA,34.6,7
2002,1,出口,万美元,浙江,12187.3443,NA,21.5,7
2002,1,出口,万美元,安徽,2041.4895,NA,23.7,7
2002,1,出口,万美元,福建,10559.7691,NA,27.7,7
2002,1,出口,万美元,江西,613.7556,NA,-62.2,7
2002,1,出口,万美元,山东,31096.9542,NA,35.6,7
2002,1,出口,万美元,河南,1827.5844,NA,56.4,7
2002,1,出口,万美元,湖北,1790.9131,NA,157.6,7
2002,1,出口,万美元,湖南,1125.8806,NA,25.4,7
2002,1,出口,万美元,广东,20157.3796,NA,21.3,7
2002,1,出口,万美元,广西,1555.997,NA,32,7
2002,1,出口,万美元,海南,708.7961,NA,9.3,7
2002,1,出口,万美元,重庆,-0.01,NA,NA,7
2002,1,出口,万美元,四川,2457.2943,NA,68.7,7
2002,1,出口,万美元,贵州,349.8492,NA,12.9,7
2002,1,出口,万美元,云南,1593.6243,NA,31.8,7
2002,1,出口,万美元,西藏,34.6903,NA,-22.9,7
2002,1,出口,万美元,陕西,1000.8781,NA,29.9,7
2002,1,出口,万美元,甘肃,474.6621,NA,38.2,7
2002,1,出口,万美元,青海,44.2938,NA,-47.2,7
2002,1,出口,万美元,宁夏,121.7575,NA,173.3,7
2002,1,出口,万美元,新疆,2388.1125,NA,54,7
2002,2,出口,万美元,北京,10410.4374,NA,8.7,7
2002,2,出口,万美元,天津,5500.6351,NA,-23.4,7
2002,2,出口,万美元,河北,8066.4237,NA,33.9,7
2002,2,出口,万美元,山西,2095.0971,NA,183.6,7
2002,2,出口,万美元,内蒙古,2664.549,NA,29.7,7
2002,2,出口,万美元,辽宁,15617.4369,NA,11.1,7
2002,2,出口,万美元,吉林,9083.5522,NA,-23.5,7
2002,2,出口,万美元,黑龙江,4898.804,NA,-25.5,7
2002,2,出口,万美元,上海,8863.4716,NA,21.3,7
2002,2,出口,万美元,江苏,11108.4457,NA,15.1,7
2002,2,出口,万美元,浙江,22316.1326,NA,9.5,8
2002,2,出口,万美元,安徽,3665.827,NA,10,7
2002,2,出口,万美元,福建,20197.0126,NA,7.4,7
2002,2,出口,万美元,江西,1177.5766,NA,-59.3,7
2002,2,出口,万美元,山东,54929.9765,NA,18.1,7
2002,2,出口,万美元,河南,3118.4525,NA,14.4,7
2002,2,出口,万美元,湖北,2822.748,NA,75.9,7
2002,2,出口,万美元,湖南,2067.8655,NA,-7,7
2002,2,出口,万美元,广东,36451.1813,NA,6.7,7
2002,2,出口,万美元,广西,2645.666,NA,9.8,7
2002,2,出口,万美元,海南,1268.8031,NA,-6.8,7
2002,2,出口,万美元,四川,3896.2127,NA,-9.5,7
2002,2,出口,万美元,贵州,612.6841,NA,17,7
2002,2,出口,万美元,云南,2940.1946,NA,16.8,8
2002,2,出口,万美元,西藏,53.0905,NA,-28.6,7
2002,2,出口,万美元,陕西,2034.0168,NA,9.4,7
2002,2,出口,万美元,甘肃,1101.8414,NA,66.8,7
2002,2,出口,万美元,青海,141.1182,NA,10.9,7
2002,2,出口,万美元,宁夏,262.1909,NA,268.1,7
2002,2,出口,万美元,新疆,3928.4503,NA,32.2,8
2002,3,出口,万美元,北京,16247.4903,15804.3392,2.8,7
2002,3,出口,万美元,天津,8179.7409,10684.0862,-23.4,8
2002,3,出口,万美元,河北,11358.2912,10185.8124,11.5,7
2002,3,出口,万美元,山西,2659.931,1449.18,83.5,8
2002,3,出口,万美元,内蒙古,6310.1489,2913.6235,116.6,8
2002,3,出口,万美元,辽宁,26067.1031,22787.8898,14.4,8
2002,3,出口,万美元,吉林,17276.8739,21082.4867,-18.1,7
2002,3,出口,万美元,黑龙江,9084.6131,10771.9409,-15.7,7
2002,3,出口,万美元,上海,14707.8925,13619.2845,8,8
2002,3,出口,万美元,江苏,15794.0612,14616.1196,8.1,7
2002,3,出口,万美元,浙江,35261.0849,33677.7865,4.7,8
2002,3,出口,万美元,安徽,5668.3413,5090.0871,11.4,7
2002,3,出口,万美元,福建,31904.0805,30131.3909,5.9,7
2002,3,出口,万美元,江西,2151.2461,4360.7212,-50.7,7
2002,3,出口,万美元,山东,79792.5961,73489.1003,8.6,8
2002,3,出口,万美元,河南,4781.5157,4506.1233,6.1,7
2002,3,出口,万美元,湖北,3624.3517,2437.1605,48.7,7
2002,3,出口,万美元,湖南,3474.5204,3546.5444,-2,7
2002,3,出口,万美元,广东,57123.7958,54280.4965,5.2,7
2002,3,出口,万美元,广西,3934.7497,3766.6071,4.5,7
2002,3,出口,万美元,海南,1974.8036,2398.5588,-17.7,7
2002,3,出口,万美元,四川,5323.2403,6299.2097,-15.5,8
2002,3,出口,万美元,贵州,748.5861,887.2135,-15.6,7
2002,3,出口,万美元,云南,4534.2643,4241.5952,6.9,8
2002,3,出口,万美元,西藏,113.4169,110.7522,2.4,8
2002,3,出口,万美元,陕西,2975.1057,2870.3872,3.6,8
2002,3,出口,万美元,甘肃,1445.2166,1085.713,33.1,7
2002,3,出口,万美元,青海,189.8347,207.6009,-8.6,8
2002,3,出口,万美元,宁夏,388.385,182.6704,112.6,8
2002,3,出口,万美元,新疆,5209.0264,5433.772,-4.1,8
2002,4,出口,万美元,北京,22295.5653,21934.5869,1.6,7
2002,4,出口,万美元,天津,11140.5104,13295.7061,-16.2,8
2002,4,出口,万美元,河北,16667.7501,13652.7411,22.1,7
2002,4,出口,万美元,山西,3224.8171,1765.9994,82.6,8
2002,4,出口,万美元,内蒙古,7557.2295,3538.6567,113.6,8
2002,4,出口,万美元,辽宁,41040.9104,32035.7219,28.1,8
2002,4,出口,万美元,吉林,26144.8226,24992.8272,4.6,8
2002,4,出口,万美元,黑龙江,12468.4424,12982.2787,-4,8
2002,4,出口,万美元,上海,19554.9053,19399.5043,0.8,8
2002,4,出口,万美元,江苏,21385.5716,19854.0745,7.7,8
2002,4,出口,万美元,浙江,49206.1869,47976.3758,2.6,8
2002,4,出口,万美元,安徽,7348.2934,7498.3021,-2,7
2002,4,出口,万美元,福建,44603.5354,42557.8496,4.8,7
2002,4,出口,万美元,江西,3049.1129,6274.0574,-51.4,8
2002,4,出口,万美元,山东,109673.1437,103610.8247,5.9,8
2002,4,出口,万美元,河南,6492.3597,6586.3992,-1.4,8
2002,4,出口,万美元,湖北,4874.2101,3517.7702,38.6,8
2002,4,出口,万美元,湖南,4948.4664,5277.6555,-6.2,8
2002,4,出口,万美元,广东,80982.4284,74256.2099,9.1,7
2002,4,出口,万美元,广西,5587.688,5191.8783,7.6,7
2002,4,出口,万美元,海南,3001.4075,3314.5927,-9.4,7
2002,4,出口,万美元,四川,7564.7969,8627.9441,-12.3,8
2002,4,出口,万美元,贵州,1715.4811,1131.7321,51.6,7
2002,4,出口,万美元,云南,7865.0758,7392.2964,6.4,8
2002,4,出口,万美元,西藏,129.7467,191.0954,-32.1,8
2002,4,出口,万美元,陕西,3951.6571,3933.6464,0.5,8
2002,4,出口,万美元,甘肃,1933.2612,1412.92,36.8,7
2002,4,出口,万美元,青海,274.1728,252.2721,8.7,8
2002,4,出口,万美元,宁夏,504.2205,255.8626,97.1,8
2002,4,出口,万美元,新疆,7048.6443,7077.5924,-0.4,8
2002,5,出口,万美元,北京,28545.9677,27807.1569,2.7,7
2002,5,出口,万美元,天津,14007.8226,16011.935,-12.5,8
2002,5,出口,万美元,河北,19794.0514,17281.3227,14.5,8
2002,5,出口,万美元,山西,3556.4582,2127.5337,67.2,8
2002,5,出口,万美元,内蒙古,8338.5657,4182.3691,99.4,8
2002,5,出口,万美元,辽宁,51679.6996,41247.1412,25.3,8
2002,5,出口,万美元,吉林,30543.42,31082.3746,-1.7,8
2002,5,出口,万美元,黑龙江,15325.4104,15421.2876,-0.6,8
2002,5,出口,万美元,上海,24838.4709,24891.8843,-0.2,8
2002,5,出口,万美元,江苏,26033.2766,25344.1437,2.7,8
2002,5,出口,万美元,浙江,61828.4177,62736.7896,-1.4,8
2002,5,出口,万美元,安徽,8907.113,9275.2311,-4,7
2002,5,出口,万美元,福建,55235.2663,52816.8111,4.6,7
2002,5,出口,万美元,江西,3890.7113,6846.1287,-43.2,8
2002,5,出口,万美元,山东,137696.5682,131275.7541,4.9,8
2002,5,出口,万美元,河南,8176.8341,8423.547,-2.9,8
2002,5,出口,万美元,湖北,6308.5506,4860.5226,29.8,8
2002,5,出口,万美元,湖南,6331.0395,6534.8278,-3.1,8
2002,5,出口,万美元,广东,99610.0201,89366.3469,11.5,8
2002,5,出口,万美元,广西,6923.2667,6431.3416,7.6,8
2002,5,出口,万美元,海南,3608.9143,4005.7754,-9.9,8
2002,5,出口,万美元,四川,9802.5458,11006.1591,-10.9,8
2002,5,出口,万美元,贵州,2115.3521,1345.1661,57.3,8
2002,5,出口,万美元,云南,9976.0632,8694.7926,14.7,8
2002,5,出口,万美元,西藏,162.8166,246.1662,-33.9,8
2002,5,出口,万美元,陕西,4712.148,4790.4324,-1.6,8
2002,5,出口,万美元,甘肃,2202.1676,1710.0032,28.8,7
2002,5,出口,万美元,青海,300.3683,287.4367,4.5,8
2002,5,出口,万美元,宁夏,591.4871,322.6163,83.3,8
2002,5,出口,万美元,新疆,9662.7442,8955.2297,7.9,8
2002,6,出口,万美元,北京,36354.0482,34384.5922,5.7,7
2002,6,出口,万美元,天津,16656.3898,19193.9323,-13.2,8
2002,6,出口,万美元,河北,23029.9724,20722.8125,11.1,8
2002,6,出口,万美元,山西,3883.2422,2526.4214,53.7,8
2002,6,出口,万美元,内蒙古,8911.0616,4732.6909,88.3,8
2002,6,出口,万美元,辽宁,61895.3401,50675.4039,22.1,8
2002,6,出口,万美元,吉林,34683.9613,33504.0417,3.5,8
2002,6,出口,万美元,黑龙江,18191.2084,17291.0054,5.2,8
2002,6,出口,万美元,上海,29009.3753,29774.4031,-2.6,8
2002,6,出口,万美元,江苏,31187.1349,31101.4727,0.3,8
2002,6,出口,万美元,浙江,73551.6566,76238.4536,-3.5,8
2002,6,出口,万美元,安徽,10457.9821,11347.1243,-7.8,7
2002,6,出口,万美元,福建,69428.3942,63961.6893,8.5,7
2002,6,出口,万美元,江西,4624.6834,8437.3076,-45.2,8
2002,6,出口,万美元,山东,167861.5008,157113.3323,6.8,8
2002,6,出口,万美元,河南,9815.6583,10152.8034,-3.3,8
2002,6,出口,万美元,湖北,7564.9136,7055.9214,7.2,8
2002,6,出口,万美元,湖南,7753.6372,7609.4061,1.9,8
